model,feature,builtin_importance,perm_importance_mean,perm_importance_std,model_accuracy,model_mcc,model_auc
Source_gse20194,SUPV3L1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,IPPK,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CASP5,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,IDH1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,FOXL1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ORAI3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TCTN2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ALPI,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,SIKE1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TMC6,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,DNMBP,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,MSH2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,FANCL,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TMED3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,RETN,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CLEC4A,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,GHITM,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,PIP5K1B,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ELMO2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,MMP8,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,RPS6KA3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TOR1AIP2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,VCL,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,GBA3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TRADD,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,MORC3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CNOT2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,GABARAPL3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,SUPT7L,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,PDE6B,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,KCMF1,0.011075,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,RNGTT,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,KDM4D,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CIAPIN1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,SAFB2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,MIF,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TSPAN12,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,B9D2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,NDUFS3,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ALDH3A2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ACTR1A,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CCR6,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,CKAP4,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,FTCD,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,ZC3H13,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,DUSP2,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,KANSL1L,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,PIAS1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,TAF1A,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,SIN3B,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,DOCK9,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
Source_gse20194,DMXL1,0.000000,0.000000,0.000000,0.884058,0.756614,0.901675
