feature,perm_importance_mean,perm_importance_std,model_name,model_accuracy,model_mcc,model_auc
ESR1,0.765986,0.039000,Combined Sources,0.929204,0.816245,0.943883
TTBK2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MTR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ABCD3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MACF1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CDC5L,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RGS11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KRT3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HSD3B1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CRMP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IDH1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RGS20,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ENPP2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GP1BA,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PA2G4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRABD,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TRIOBP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SGSH,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TMEM158,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LRRC1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CIITA,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
COLQ,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
JAK3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CPEB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DIAPH2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PPP1R15A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CPS1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARHGEF3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CABIN1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PLVAP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZMYND11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C11orf71,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FASN,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC11A2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TUBA3C,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MAU2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RTN4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
C21orf91,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LEMD3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DRD5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CD2AP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
VWA5A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLC13A4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NR3C1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SRSF9,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DUSP11,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GUCY2C,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DEAF1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PRKCSH,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF236,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ORC3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IFIT5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PDGFB,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FBXW7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZFY,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ADAMTS3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
STRA6,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
MEFV,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HECW1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SLA,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
DLX5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARIH2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
STARD7,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RHOBTB2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HMMR,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SCN3A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KCNJ13,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
SEMA7A,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BOP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ROCK1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KIAA0087,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NUDCD3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PAQR5,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BEX1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
NOP56,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HOXA3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RANBP3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LAT,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
UAP1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CYP2J2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
AFF3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
BARD1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FMO4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
WDR74,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
PLA2G15,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
GJA4,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TARP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZSCAN16,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
KIFC3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FOXD2,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
EAPP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
CPEB3,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
RRM1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ARHGAP22,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
TSPYL1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
ZNF304,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
FAM20B,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
IQCB1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
LNPEP,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
HTR7P1,0.000000,0.000000,Combined Sources,0.929204,0.816245,0.943883
