feature,perm_importance_mean,perm_importance_std,model_name,model_accuracy,model_mcc,model_auc
ESR1,0.849049,0.085502,Source: gse20194,0.913043,0.817460,0.926808
SLC13A4,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
FASN,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TTBK2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
MTR,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ABCD3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
MACF1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CDC5L,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
RGS11,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
KRT3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
HSD3B1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
GJA4,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
RGS20,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ENPP2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
GP1BA,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PA2G4,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TRABD,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TRIOBP,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SGSH,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TMEM158,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CYP4A22,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CRMP1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
COLQ,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
JAK3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CPEB1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
DIAPH2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PPP1R15A,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CPS1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ARHGEF3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CABIN1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PLVAP,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ZMYND11,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
LRRC1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
NR3C1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SLC11A2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TUBA3C,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
MAU2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
RTN4,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ROCK1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
LEMD3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
DRD5,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CD2AP,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
VWA5A,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
C11orf71,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
HOXA3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SRSF9,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
DUSP11,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
GUCY2C,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
DEAF1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PRKCSH,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ZNF236,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ORC3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
IFIT5,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CIITA,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
HMMR,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ZFY,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ADAMTS3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
STRA6,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
MEFV,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
KLHL24,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SLA,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
DLX5,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ARIH2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
STARD7,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PDGFB,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
FBXW7,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SCN3A,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
KCNJ13,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SEMA7A,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
BOP1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
HECW1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
KIAA0087,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
NUDCD3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PAQR5,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
BEX1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
SH3GLB1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TARP,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
RANBP3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
LAT,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
UAP1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CYP2J2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
AFF3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
BARD1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
FMO4,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
WDR74,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
PLA2G15,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
NOP56,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CLEC4E,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ZSCAN16,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
KIFC3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
FOXD2,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
EAPP,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
CPEB3,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
RRM1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
ARHGAP22,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TSPYL1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
TCERG1,0.000000,0.000000,Source: gse20194,0.913043,0.817460,0.926808
