feature,perm_importance_mean,perm_importance_std,model_name,model_accuracy,model_mcc,model_auc
ESR1,0.749544,0.019227,Source: gse62944,0.937037,0.822247,0.962487
BRDT,0.014027,0.005144,Source: gse62944,0.937037,0.822247,0.962487
ELL3,0.012987,0.005719,Source: gse62944,0.937037,0.822247,0.962487
GATA3,0.012064,0.000000,Source: gse62944,0.937037,0.822247,0.962487
ACOT9,0.012064,0.000000,Source: gse62944,0.937037,0.822247,0.962487
IL6R,0.012064,0.000000,Source: gse62944,0.937037,0.822247,0.962487
SLC27A2,0.012064,0.000000,Source: gse62944,0.937037,0.822247,0.962487
DNAAF1,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
OAS3,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
PDK1,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
BCAS1,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
CLTCL1,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
GTF2B,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
TCL1A,0.008943,0.000000,Source: gse62944,0.937037,0.822247,0.962487
SECTM1,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
ELAVL3,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
SLC38A3,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
PPP1R14D,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
ANO2,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
F2RL1,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
GLI3,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
TDO2,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
CFB,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
SH3D21,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
ENOPH1,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
DHRS11,0.005962,0.004216,Source: gse62944,0.937037,0.822247,0.962487
GALE,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
SAT1,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
LBP,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
NRXN1,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
LARP1,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
CYP4F3,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
ARPC1B,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
UGCG,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
EMID1,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
SERTAD3,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
KLK11,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
CIDEC,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
CORO7,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
LYPD1,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
LRP1B,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
SCCPDH,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
TDRD7,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
MUC5B,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
PRR5L,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
FXYD6,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
GZMB,0.002981,0.004216,Source: gse62944,0.937037,0.822247,0.962487
