metric,adjuster,dataset,value
MMD,combat,gse49711,0.13491232028565958
MMD,combat_target,gse49711,0.13526736700319342
MMD,unadjusted,gse49711,0.13675597578173712
MMD,min_mean,gse49711,0.1296408769409607
MMD,tampor,gse49711,0.12831695344501548
MMD,limma,gse49711,0.13241421754985394
MMD,limma_target,gse49711,0.13360807053020035
MMD,combat,gse20194,0.01967034937270529
MMD,combat_target,gse20194,0.02982631556141213
MMD,unadjusted,gse20194,0.13836735534690495
MMD,min_mean,gse20194,0.019220158343572106
MMD,tampor,gse20194,0.13225249383111037
MMD,limma,gse20194,0.015469175914206898
MMD,limma_target,gse20194,0.027169553073822395
MMD,combat,gse24080,0.010088967140074932
MMD,combat_target,gse24080,0.010446258684600076
MMD,unadjusted,gse24080,0.09470455117899935
MMD,min_mean,gse24080,0.013293810724929892
MMD,tampor,gse24080,0.06485983968779359
MMD,limma,gse24080,0.0110382726731333
MMD,limma_target,gse24080,0.01210844208694136
