metric,classifier,adjuster,dataset,column,value
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9532
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8645
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9692
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9657
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.908
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9479
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8528
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9655
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8968
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8566
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9688
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.963
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.904
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9557
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8738
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.966
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9246
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9523
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8634
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9709
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9661
Specificity (TNR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9044
Accuracy,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.8602
ROC AUC,HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9657
Sensitivity (TPR),HistGradientBoosting,Unadjusted,Combined on gse62944,meta_er_status,0.9628
