encoder_layer_size,adversarial_weight,epochs,lr,reg,dropout_rate,batch_mean,std_batch,true_mean,std_true,criteria
128,0.1,300,10,0,0.5,0.700901,0.018195,0.63936,0.039676,2.495899
256,0.1,600,5,0,0.5,0.563959,0.034138,0.585473,0.031786,2.363406
256,0.1,300,10,0,0.5,0.834829,0.013765,0.609595,0.042552,2.213146
128,0.01,300,10,0,0.5,0.985803,0.002975,0.634684,0.025396,2.187617
128,0.1,300,5,0,0.5,0.837892,0.017769,0.602006,0.036314,2.172138
128,0.01,600,10,0,0.5,0.90091,0.014152,0.611517,0.030401,2.156675
128,0.1,600,5,0,0.5,0.641732,0.025598,0.544258,0.035253,2.079558
256,0.1,300,5,0,0.5,0.780487,0.022774,0.571767,0.034781,2.078348
256,0.1,900,5,0,0.5,0.670003,0.026165,0.541335,0.030673,2.036672
128,0.1,600,10,0,0.5,0.771578,0.019081,0.549105,0.034114,1.973947
256,0.001,400,5,0.0,0.5,0.918388,0.010288,0.911412,0.009579,3.638670
128,0.01,400,5,0.0,0.5,0.956308,0.008586,0.846222,0.020288,3.274804
256,0.01,400,5,0.0,0.5,0.970026,0.005140,0.886622,0.010546,3.463082
128,0.0001,400,5,0.0,0.5,0.793729,0.013357,0.907134,0.015330,3.741941
256,0.0001,400,5,0.0,0.5,0.809345,0.018592,0.911341,0.010861,3.747358
128,0.001,400,10,0.0,0.5,0.876995,0.016118,0.906046,0.014897,3.653233
256,0.001,400,10,0.0,0.5,0.826977,0.010749,0.930487,0.012951,3.825456
128,0.01,400,10,0.0,0.5,0.953410,0.007515,0.807995,0.020930,3.086567
256,0.01,400,10,0.0,0.5,0.911187,0.008273,0.907234,0.013964,3.624982
128,0.001,400,5,0.0,0.1,0.947063,0.007632,0.931556,0.008921,3.710718
256,0.001,400,5,0.0,0.1,0.980213,0.003658,0.921621,0.008126,3.627894
128,0.01,400,5,0.0,0.1,0.973412,0.005425,0.878524,0.011428,3.419211
256,0.01,400,5,0.0,0.1,0.951043,0.006342,0.901406,0.011436,3.555986
128,0.001,400,5,0.0,0.1,0.977904,0.004785,0.920001,0.012059,3.622100
256,0.001,400,5,0.0,0.1,0.944998,0.009060,0.928482,0.010281,3.697411
128,0.01,400,5,0.0,0.1,0.963109,0.006410,0.834808,0.016935,3.210930
256,0.01,400,5,0.0,0.1,0.976360,0.004251,0.875707,0.012049,3.402174
128,0.05,400,5,0.0,0.1,0.869682,0.010575,0.868881,0.019214,3.474724
256,0.05,400,5,0.0,0.1,0.869069,0.006216,0.802677,0.014920,3.144316
128,0.001,400,5,0.0,0.01,0.977000,0.003984,0.931877,0.009531,3.682387
256,0.001,400,5,0.0,0.01,0.976613,0.004295,0.938051,0.004758,3.713640
128,0.01,400,5,0.0,0.01,0.992676,0.001401,0.915190,0.007200,3.583272
256,0.01,400,5,0.0,0.01,0.972855,0.003986,0.897636,0.012967,3.515327
128,0.05,400,5,0.0,0.01,0.929601,0.012310,0.895985,0.008352,3.550326
256,0.05,400,5,0.0,0.01,0.921526,0.008545,0.879435,0.014398,3.475651
128,0.001,400,5,0.0,0.5,0.923778,0.009413,0.911609,0.011228,3.634269
256,0.001,400,5,0.0,0.5,0.946887,0.006528,0.911427,0.012958,3.610248
128,0.01,400,5,0.0,0.5,0.990793,0.002903,0.914165,0.014479,3.580034
256,0.01,400,5,0.0,0.5,0.921735,0.008233,0.661529,0.031340,2.385912
128,0.05,400,5,0.0,0.5,0.773798,0.022578,0.589955,0.032495,2.175979
256,0.05,400,5,0.0,0.5,0.808193,0.022206,0.564225,0.044316,2.012930
128,0.001,400,10,0.0,0.1,0.953071,0.006621,0.926533,0.009175,3.679593
256,0.001,400,10,0.0,0.1,0.922246,0.015132,0.929480,0.009736,3.725152
128,0.01,400,10,0.0,0.1,0.875061,0.012248,0.853281,0.014982,3.391343
256,0.01,400,10,0.0,0.1,0.954627,0.006977,0.878576,0.010325,3.438252
128,0.05,400,10,0.0,0.1,0.962137,0.005002,0.854752,0.017003,3.311622
256,0.05,400,10,0.0,0.1,0.870829,0.013114,0.657838,0.017736,2.418361
128,0.001,400,10,0.0,0.01,0.961042,0.007786,0.929115,0.009182,3.684535
256,0.001,400,10,0.0,0.01,0.961813,0.006170,0.925565,0.008407,3.666010
128,0.01,400,10,0.0,0.01,0.967686,0.004429,0.880300,0.009986,3.433814
256,0.01,400,10,0.0,0.01,0.931823,0.006723,0.817122,0.022975,3.153788
128,0.05,400,10,0.0,0.01,0.891564,0.013054,0.841869,0.017300,3.317783
256,0.05,400,10,0.0,0.01,0.945375,0.005894,0.836323,0.020678,3.236238
128,0.001,400,10,0.0,0.5,0.896075,0.017816,0.909365,0.009591,3.650750
256,0.001,400,10,0.0,0.5,0.853727,0.016444,0.926018,0.008397,3.776363
128,0.01,400,10,0.0,0.5,0.958287,0.004387,0.865744,0.014136,3.370435
256,0.01,400,10,0.0,0.5,0.641795,0.016115,0.541006,0.031985,2.063233
128,0.05,400,10,0.0,0.5,0.824841,0.016906,0.618958,0.031776,2.269948
256,0.05,400,10,0.0,0.5,0.790550,0.018412,0.582312,0.031476,2.121009
128,0.001,400,15,0.0,0.1,0.946482,0.012323,0.930462,0.006112,3.705827
256,0.001,400,15,0.0,0.1,0.923752,0.009701,0.931192,0.007057,3.732209
