metric,adjuster,dataset,value
MSE,combat,gse49711,0.424650193915573
MSE,combat_target,gse49711,0.43995243943000667
MSE,unadjusted,gse49711,0.0
MSE,min_mean,gse49711,0.5329499364232078
MSE,tampor,gse49711,2668782347329.2236
MSE,limma,gse49711,0.20105316231875942
MSE,limma_target,gse49711,0.21657409109444978
MSE,combat,gse20194,0.002569219595150928
MSE,combat_target,gse20194,0.0024651139580634065
MSE,unadjusted,gse20194,0.0
MSE,min_mean,gse20194,0.004502513574243409
MSE,tampor,gse20194,2.3601491311810077
MSE,limma,gse20194,0.0027385103042167885
MSE,limma_target,gse20194,0.0026648523148800896
MSE,combat,gse24080,0.0011385621202712277
MSE,combat_target,gse24080,0.0011706007796043027
MSE,unadjusted,gse24080,0.0
MSE,min_mean,gse24080,0.0036776705811302243
MSE,tampor,gse24080,1.6920553837268748
MSE,limma,gse24080,0.0012006194049472962
MSE,limma_target,gse24080,0.0012331457790237192
