dataset,autoclass,combat,combat_target,fastMNN,harmony,liger,limma,limma_target,min_mean,quantile,seurat_integration,seurat_scaling,unadjusted,wasserstein
gse20194,0.058,0.02,0.03,0.001,0.137,0.126,0.015,0.027,0.019,0.053,0.11,0.141,0.138,0.126
gse24080,0.016,0.01,0.01,0.0,0.093,0.085,0.011,0.012,0.013,0.027,0.081,0.101,0.095,0.073
gse49711,0.183,0.135,0.136,0.0,0.306,0.088,0.132,0.134,0.13,0.193,0.135,0.224,0.137,0.129
