rows,cols,real_time,user_time,sys_time
10,50,12.32,13.31,3.37
50,50,12.20,13.19,3.37
100,50,12.37,13.43,3.31
150,50,12.38,13.34,3.40
200,50,12.90,13.78,3.48
250,50,12.80,13.87,3.26
272,50,12.36,13.37,3.35
272,10,13.10,13.97,3.51
272,50,12.51,13.27,3.66
272,100,13.06,18.67,10.38
272,300,16.44,58.51,59.20
272,500,25.25,184.96,179.04
272,1000,88.06,1383.49,1045.08
