minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	batch_value	batch_unadjusted_value	batch_score	class_value	class_unadjusted_value	class_score	batch_rank	class_rank	combined_rank
50	5	10	10	linear	2	1000	1e-4	0.5750000000000001	0.9387820512820513	0.3637820512820512	0.8627314814814815	0.7076388888888889	0.15509259259259256	0.8722157092614302	0.9929660023446659	0.932590855803048
100	20	5	20	linear	2	1000	0.001	0.5692307692307693	0.9387820512820513	0.36955128205128196	0.8238425925925926	0.7076388888888889	0.1162037037037037	0.8827667057444314	0.9742086752637749	0.9284876905041031
100	20	5	10	linear	2	1000	1e-4	0.5855769230769231	0.9387820512820513	0.35320512820512817	0.836574074074074	0.7076388888888889	0.1289351851851851	0.8622508792497069	0.984759671746776	0.9235052754982415
100	5	5	50	linear	2	1000	1e-4	0.5775641025641026	0.9387820512820513	0.36121794871794866	0.819675925925926	0.7076388888888889	0.11203703703703705	0.8686987104337632	0.9695193434935522	0.9191090269636577
100	10	10	20	linear	2	1000	0.001	0.5951923076923077	0.9387820512820513	0.3435897435897436	0.8206018518518519	0.7076388888888889	0.11296296296296293	0.8475967174677609	0.9706916764361079	0.9091441969519344
50	5	5	50	linear	2	1000	1e-4	0.5479166666666667	0.9387820512820513	0.39086538461538456	0.7393518518518518	0.7076388888888889	0.03171296296296289	0.917936694021102	0.8757327080890973	0.8968347010550997
50	20	5	20	linear	2	1000	0.001	0.6126602564102565	0.9387820512820513	0.3261217948717948	0.825462962962963	0.7076388888888889	0.11782407407407403	0.8147713950762017	0.977725674091442	0.8962485345838218
100	10	5	20	sigmoid	2	1000	1e-4	0.5544871794871795	0.9387820512820513	0.38429487179487176	0.7423611111111111	0.7076388888888889	0.03472222222222221	0.9073856975381008	0.88042203985932	0.8939038686987104
50	5	10	50	linear	2	1000	0.001	0.5629807692307692	0.9387820512820513	0.37580128205128205	0.742824074074074	0.7076388888888889	0.0351851851851851	0.8933177022274326	0.8851113716295428	0.8892145369284876
100	20	2	10	sigmoid	2	1000	0.001	0.524198717948718	0.9387820512820513	0.4145833333333333	0.69375	0.7076388888888889	-0.01388888888888895	0.9413833528722158	0.8182883939038686	0.8798358733880423
50	20	10	50	linear	2	1000	0.001	0.5642628205128205	0.9387820512820513	0.37451923076923077	0.7298611111111111	0.7076388888888889	0.022222222222222143	0.8921453692848769	0.8663540445486518	0.8792497069167644
50	10	5	50	linear	2	1000	0.001	0.5980769230769231	0.9387820512820513	0.3407051282051282	0.7511574074074074	0.7076388888888889	0.04351851851851851	0.8417350527549824	0.895662368112544	0.8686987104337631
50	20	2	50	sigmoid	2	1000	1e-4	0.49230769230769234	0.9387820512820513	0.44647435897435894	0.6467592592592593	0.7076388888888889	-0.06087962962962967	0.9706916764361079	0.7420867526377491	0.8563892145369285
100	5	5	20	linear	2	1000	1e-4	0.658974358974359	0.9387820512820513	0.2798076923076923	0.8386574074074075	0.7076388888888889	0.13101851851851853	0.7245017584994138	0.9871043376318874	0.8558030480656507
100	10	10	50	sigmoid	2	1000	0.001	0.49423076923076925	0.9387820512820513	0.444551282051282	0.6342592592592593	0.7076388888888889	-0.07337962962962963	0.9683470105509965	0.723915592028136	0.8461313012895663
100	5	5	50	sigmoid	2	1000	1e-4	0.4790064102564102	0.9387820512820513	0.45977564102564106	0.6259259259259259	0.7076388888888889	-0.08171296296296304	0.9824150058616647	0.7022274325908558	0.8423212192262604
100	10	5	10	linear	2	1000	0.001	0.6708333333333333	0.9387820512820513	0.267948717948718	0.826851851851852	0.7076388888888889	0.11921296296296302	0.6963657678780774	0.9800703399765534	0.8382180539273154
50	5	2	20	linear	2	1000	1e-4	0.6522435897435898	0.9387820512820513	0.2865384615384615	0.7840277777777779	0.7076388888888889	0.07638888888888895	0.7391559202813599	0.9320046893317703	0.8355803048065651
50	10	10	50	linear	2	1000	1e-4	0.6602564102564104	0.9387820512820513	0.2785256410256409	0.8053240740740741	0.7076388888888889	0.09768518518518521	0.7186400937866354	0.9507620164126612	0.8347010550996483
100	5	2	10	linear	2	1000	0.001	0.6520833333333332	0.9387820512820513	0.28669871794871804	0.7814814814814816	0.7076388888888889	0.07384259259259263	0.7409144196951934	0.9284876905041032	0.8347010550996483
50	10	10	20	linear	1	1000	1e-4	0.6759615384615385	0.9387820512820513	0.2628205128205128	0.8236111111111112	0.7076388888888889	0.11597222222222225	0.6858147713950762	0.9730363423212193	0.8294255568581477
50	20	5	10	sigmoid	1	1000	1e-4	0.5717948717948719	0.9387820512820513	0.3669871794871794	0.674074074074074	0.7076388888888889	-0.03356481481481488	0.8780773739742087	0.776084407971864	0.8270808909730363
100	5	10	20	linear	2	1000	1e-4	0.6443910256410257	0.9387820512820513	0.2943910256410256	0.7425925925925926	0.7076388888888889	0.034953703703703654	0.7596717467760844	0.8827667057444314	0.8212192262602579
50	10	5	20	sigmoid	2	10000	1e-4	0.60625	0.9387820512820513	0.3325320512820513	0.686574074074074	0.7076388888888889	-0.021064814814814925	0.8300117233294255	0.8065650644783119	0.8182883939038688
50	20	10	10	linear	2	1000	1e-4	0.6810897435897436	0.9387820512820513	0.25769230769230766	0.8159722222222222	0.7076388888888889	0.10833333333333328	0.6682297772567409	0.9648300117233294	0.8165298944900352
50	10	5	10	linear	2	1000	0.001	0.690224358974359	0.9387820512820513	0.2485576923076923	0.8462962962962963	0.7076388888888889	0.1386574074074074	0.6424384525205158	0.9894490035169988	0.8159437280187574
100	5	2	20	linear	2	1000	1e-4	0.6264423076923077	0.9387820512820513	0.3123397435897436	0.7078703703703704	0.7076388888888889	2.3148148148144365e-4	0.7942555685814772	0.8370457209847597	0.8156506447831184
100	20	2	10	linear	1	1000	0.001	0.66875	0.9387820512820513	0.2700320512820513	0.7775462962962962	0.7076388888888889	0.06990740740740731	0.7010550996483002	0.9261430246189918	0.813599062133646
