minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	dataset	algorithm	iteration	column	value
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	1	Batch	0.9375
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	1	Class	0.7361111111111112
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	2	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	2	Class	0.675
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	1	Batch	0.9692307692307691
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	1	Class	0.75
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	2	Batch	0.9980769230769231
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	2	Class	0.7333333333333334
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	1	Batch	0.7634615384615384
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	1	Class	0.7527777777777778
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	2	Batch	0.9644230769230769
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	2	Class	0.5986111111111112
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Random Forests	1	Class	0.4597222222222222
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Random Forests	2	Batch	1.0
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Random Forests	2	Class	0.5277777777777778
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Support Vector Machines	1	Batch	0.925
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Support Vector Machines	1	Class	0.5
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Support Vector Machines	2	Batch	1.0
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	Support Vector Machines	2	Class	0.5666666666666667
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	k-nearest Neighbors	1	Batch	0.7403846153846154
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	k-nearest Neighbors	1	Class	0.5027777777777779
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	k-nearest Neighbors	2	Batch	0.9884615384615385
100	10	10	10	linear	1.0	10000	0.0001	100_10_10_10_linear_1.0_10000_0.0001.tsv	k-nearest Neighbors	2	Class	0.4569444444444445
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Random Forests	1	Class	0.37083333333333335
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Random Forests	2	Batch	1.0
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Random Forests	2	Class	0.4611111111111112
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Support Vector Machines	1	Batch	0.8038461538461539
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Support Vector Machines	1	Class	0.4333333333333333
100	10	10	10	linear	1.0	10000	0.001	100_10_10_10_linear_1.0_10000_0.001.tsv	Support Vector Machines	2	Batch	1.0
