minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	batch_value.x	batch_unadjusted_value.x	batch_score.x	class_value.x	class_unadjusted_value.x	class_score.x	batch_rank.x	class_rank.x	combined_rank.x	batch_value.y	batch_unadjusted_value.y	batch_score.y	class_value.y	class_unadjusted_value.y	class_score.y	batch_rank.y	class_rank.y	combined_rank.y	overall_rank
100	10	5	20	linear	2	10000	1e-5	0.4665196243814664	0.938227395411606	-0.03348037561853356	0.7075994513031549	0.7155987654320988	-0.00799931412894383	0.8387834438600503	0.9400868968671392	0.39426466244096353	0.4979148148148148	0.7079203703703704	-0.00208518518518519	0.9747628403257058	0.9380248669722354	0.0367379733534704	0.9687330070690592	0.992115280043502	0.4805474092978517	0.8748120717388153
100	10	10	10	linear	2	10000	1e-5	0.5012764538093486	0.938227395411606	-0.00127645380934859	0.7277597736625514	0.7155987654320988	0.01216100823045263	0.9935970729476332	0.968214040704322	0.4810073184153074	0.5121736111111111	0.7079203703703704	-0.01217361111111114	0.969294835771444	0.9380248669722354	0.03126996879920862	0.8091353996737357	0.923599782490484	0.3736586395720065	0.8546659579873139
50	10	2	50	linear	1	10000	1e-5	0.524269517032675	0.938227395411606	-0.02426951703267499	0.7074734224965705	0.7155987654320988	-0.00812534293552824	0.8813171735650583	0.9396295449348272	0.414055827370092	0.5068648148148148	0.7079203703703704	-0.00686481481481482	0.9721132975080344	0.9380248669722354	0.03408843053579891	0.8931484502446982	0.966557911908646	0.4316398505464794	0.8456956779165714
50	5	10	10	linear	1	10000	1e-5	0.4730595172371488	0.938227395411606	-0.02694048276285116	0.7300848765432099	0.7155987654320988	0.01448611111111108	0.8680539675280128	0.9698147724674137	0.4209257805038077	0.5048662037037037	0.7079203703703704	-0.00486620370370372	0.9684759320724232	0.9380248669722354	0.03045106510018791	0.9200652528548124	0.912452419793366	0.4197578831675844	0.8406836636713921
100	5	10	10	linear	4	10000	1e-4	0.540056767063346	0.938227395411606	-0.04005676706334604	0.6962397119341563	0.7155987654320988	-0.01935905349794242	0.8131717356505831	0.915618568488452	0.3722775702658283	0.5026711934156378	0.7079203703703704	-0.00267119341563781	0.9712752372255296	0.9380248669722354	0.03325037025329414	0.9597607395323544	0.9551386623164764	0.4583522944504026	0.8306298647162309
50	10	10	10	linear	1	10000	1e-5	0.451800009201325	0.938227395411606	-0.04819999079867498	0.7187208504801098	0.7155987654320988	0.00312208504801103	0.7903041390349874	0.9588383260919278	0.37888694888791474	0.5014351851851853	0.7079203703703704	-0.00143518518518526	0.969284694050776	0.9380248669722354	0.03125982707854047	0.9782490483958672	0.922784121805329	0.4513563445154396	0.8302432934033543
100	10	10	20	linear	2	10000	1e-5	0.4697949893673578	0.938227395411606	-0.03020501063264219	0.7057801783264745	0.7155987654320988	-0.00981858710562422	0.8525040018294078	0.936428081408644	0.3991543434131517	0.50884670781893	0.7079203703703704	-0.00884670781893004	0.9728040467367952	0.9380248669722354	0.0347791797645598	0.8610657966286025	0.9758020663404025	0.42011489180261746	0.8192692352157691
50	10	10	50	linear	1	10000	1e-5	0.5205335234940498	0.938227395411606	-0.0205335234940498	0.7112371399176954	0.7155987654320988	-0.00436162551440333	0.8982391950605991	0.947175851817974	0.4253952373589071	0.5142472222222222	0.7079203703703704	-0.01424722222222218	0.9700942755621118	0.9380248669722354	0.03206940858987639	0.7724306688417618	0.9358346927678086	0.3614337088299815	0.7868289461888887
50	20	2	20	linear	1	10000	1e-5	0.491950578661105	0.938227395411606	-0.00804942133889502	0.7108753429355281	0.7155987654320988	-0.00472342249657065	0.958380974159616	0.94626114795335	0.4534393403924641	0.4807421296296296	0.7079203703703704	-0.01925787037037035	0.9705988737275288	0.9380248669722354	0.03257400675529332	0.6949429037520392	0.9456226209896684	0.32857686504208705	0.7820162054345512
100	10	2	50	linear	2	10000	1e-5	0.4841893377090745	0.938227395411606	-0.01581066229092548	0.6897307956104252	0.7155987654320988	-0.02586796982167361	0.9188200320146352	0.8991538989252229	0.4130803070982787	0.485988683127572	0.7079203703703704	-0.01401131687242795	0.9690984185940328	0.9380248669722354	0.03107355162179725	0.7773246329526917	0.9208809135399674	0.3579117090552973	0.7709920161535759
50	5	2	10	linear	1	10000	1e-5	0.5044023739418476	0.938227395411606	-0.00440237394184761	0.7112079903978051	0.7155987654320988	-0.00439077503429363	0.978961811113652	0.946947175851818	0.4635125611504268	0.4793134259259259	0.7079203703703704	-0.02068657407407409	0.9678336816348512	0.9380248669722354	0.02980881466261586	0.6745513866231647	0.9034801522566612	0.3047218947456194	0.7682344558960462
100	20	5	50	linear	2	10000	1e-5	0.5149349517441623	0.938227395411606	-0.01493495174416226	0.6991632373113855	0.7155987654320988	-0.01643552812071325	0.9217928195746627	0.9220214955408188	0.4249563970415093	0.484891975308642	0.7079203703703704	-0.01510802469135796	0.9669887577636116	0.9380248669722354	0.02896389079137629	0.7577487765089723	0.8890701468189234	0.3368459079913458	0.7618023050328551
50	5	2	50	linear	1	10000	1e-5	0.5144958696274485	0.938227395411606	-0.01449586962744853	0.7099571330589849	0.7155987654320988	-0.00564163237311388	0.9265950148639378	0.9446604161902584	0.4376588161905931	0.4807023148148148	0.7079203703703704	-0.01929768518518521	0.9682525215273754	0.9380248669722354	0.03022765455513998	0.6943991299619359	0.9081022294725394	0.3152926990311128	0.7529515152217059
50	10	5	20	linear	1	10000	1e-5	0.5873312834825992	0.938227395411606	-0.08733128348259922	0.7060193758573388	0.7155987654320988	-0.00957938957476001	0.6748227761262291	0.936885433340956	0.3161158145196845	0.4947111111111111	0.7079203703703704	-0.00528888888888889	0.9703186227162834	0.9380248669722354	0.03229375574404802	0.914083741163676	0.9399129961935836	0.4295795939644953	0.7456954084841798
