"NoBatch","Batch","Batch1","Batch2","Batch3","ComBat","Avg","n_Avg","CS_Avg","Reg_a","Reg_s"
0.687984764542937,0.669113573407202,0.5,0.576142659279779,0.676973684210527,0.680055401662049,0.66994459833795,0.66994459833795,0.671087257617729,0.670394736842105,0.676835180055403
0.683310249307479,0.673476454293629,0.694563711911357,0.656509695290859,0.697368421052631,0.688157894736843,0.691724376731302,0.691724376731302,0.67496537396122,0.684279778393353,0.70148891966759
0.674688365650969,0.659764542936287,0.5,0.642486149584487,0.5,0.674757617728532,0.642486149584487,0.642486149584487,0.642486149584487,0.642486149584487,0.642486149584487
0.687396121883657,0.673130193905817,0.483518005540166,0.68421052631579,0.556371191135735,0.685249307479225,0.632132963988921,0.632132963988921,0.648441828254849,0.621502770083103,0.606440443213297
0.671398891966759,0.673961218836565,0.710803324099724,0.670740997229917,0.60387811634349,0.672437673130194,0.707963988919669,0.707963988919669,0.689335180055402,0.693663434903047,0.670740997229917
0.687015235457063,0.674619113573406,0.680401662049863,0.614369806094183,0.5,0.684937673130194,0.69407894736842,0.69407894736842,0.614369806094183,0.696710526315789,0.685145429362881
0.659591412742383,0.654466759002771,0.687396121883657,0.697368421052631,0.65148891966759,0.660595567867037,0.693905817174516,0.693905817174516,0.691274238227149,0.691204986149585,0.687396121883657
0.695948753462603,0.677908587257617,0.624342105263158,0.5,0.671156509695291,0.684695290858726,0.674757617728533,0.674757617728533,0.680332409972299,0.67229916897507,0.671156509695291
0.675657894736842,0.673857340720222,0.708552631578947,0.614594875346261,0.590235457063713,0.676038781163436,0.674238227146814,0.674238227146814,0.624653739612189,0.601108033240998,0.590235457063713
0.677077562326869,0.664716066481995,0.5,0.5,0.5,0.678739612188366,0.5,0.5,0.5,0.5,0.5
0.669355955678669,0.675103878116343,0.667693905817175,0.5,0.689785318559556,0.669875346260387,0.69968836565097,0.69968836565097,0.689785318559556,0.693109418282548,0.689785318559556
0.647887811634348,0.660214681440444,0.606821329639889,0.5,0.483518005540166,0.648995844875347,0.591689750692521,0.591689750692521,0.601108033240998,0.594425207756233,0.606059556786704
0.677527700831026,0.681959833795014,0.582202216066483,0.5,0.705609418282548,0.670290858725762,0.662326869806094,0.662326869806094,0.655921052631579,0.651108033240998,0.638677285318559
0.646398891966759,0.662638504155125,0.581821329639889,0.5,0.575969529085873,0.643213296398891,0.591585872576177,0.591585872576177,0.582998614958449,0.575969529085873,0.575969529085873
0.664231301939057,0.669286703601108,0.707652354570637,0.5,0.597333795013851,0.673961218836565,0.606890581717452,0.606890581717452,0.598337950138505,0.597333795013851,0.597333795013851
0.66963296398892,0.6601108033241,0.5,0.5,0.528116343490305,0.668421052631579,0.528116343490305,0.528116343490305,0.528116343490305,0.528116343490305,0.528116343490305
0.676385041551247,0.663261772853185,0.611842105263158,0.557929362880887,0.694563711911357,0.671433518005541,0.645256232686981,0.645256232686981,0.601835180055402,0.627804709141275,0.611842105263158
0.655263157894737,0.673476454293629,0.5,0.630124653739613,0.569702216066482,0.671918282548478,0.626142659279779,0.626142659279779,0.630159279778394,0.630124653739613,0.630124653739613
0.684799168975069,0.672472299168975,0.647749307479224,0.66876731301939,0.611495844875346,0.676939058171745,0.671675900277008,0.671675900277008,0.669494459833795,0.663054016620498,0.653912742382271
0.670186980609419,0.6672783933518,0.547056786703601,0.725900277008312,0.5,0.667139889196676,0.648303324099723,0.648303324099723,0.640131578947369,0.628427977839336,0.619113573407202
0.677596952908587,0.670463988919667,0.5,0.692763157894736,0.535353185595568,0.681994459833795,0.676800554016621,0.676800554016621,0.692763157894736,0.692763157894736,0.692763157894736
0.671225761772853,0.67648891966759,0.483518005540166,0.691828254847645,0.5,0.666239612188367,0.657271468144045,0.657271468144045,0.679570637119113,0.483518005540166,0.5
0.6625,0.658067867036011,0.516620498614959,0.617797783933518,0.5,0.66187673130194,0.586945983379502,0.586945983379502,0.548130193905817,0.597195290858726,0.618074792243768
0.686668975069251,0.676350415512466,0.684037396121884,0.5,0.637465373961219,0.685664819944599,0.685941828254847,0.685941828254847,0.680470914127424,0.685768698060941,0.687742382271468
0.68331024930748,0.664716066481994,0.675415512465373,0.628185595567867,0.5,0.690062326869806,0.66696675900277,0.66696675900277,0.681301939058172,0.651731301939059,0.628185595567867
0.703981994459834,0.680886426592798,0.5,0.639612188365651,0.599584487534626,0.68331024930748,0.642278393351801,0.642278393351801,0.640062326869806,0.641343490304709,0.639612188365651
0.671572022160664,0.683206371191136,0.641689750692521,0.5,0.5,0.680228531855956,0.641689750692521,0.641689750692521,0.641689750692521,0.641689750692521,0.641689750692521
