minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	dataset	algorithm	iteration	column	value
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	1	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	1	Class	0.984040400049172
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	2	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	2	Class	0.9837032207646242
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	3	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	3	Class	0.9881824807263404
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	4	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	4	Class	0.9807910981156596
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	5	Batch	1.0
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Random Forests	5	Class	0.9866801011537853
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	1	Batch	0.5790444444444444
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	1	Class	0.9616581493774475
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	2	Batch	0.5790444444444444
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	2	Class	0.9616581493774475
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	3	Batch	0.5790444444444444
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	3	Class	0.9616581493774475
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	4	Batch	0.5790444444444444
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	4	Class	0.9616581493774475
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	5	Batch	0.5790444444444444
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	Support Vector Machines	5	Class	0.9616581493774475
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	1	Batch	0.5447166666666666
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	1	Class	0.8658698171856066
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	2	Batch	0.5447166666666666
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	2	Class	0.8658698171856066
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	3	Batch	0.5447166666666666
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	3	Class	0.8658698171856066
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	4	Batch	0.5447166666666666
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	4	Class	0.8658698171856066
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	5	Batch	0.5447166666666666
NA	NA	NA	NA	NA	NA	NA	NA	unadjusted	k-nearest Neighbors	5	Class	0.8658698171856066
100	20	2	10	linear	1.0	10000	0.00001	100_20_2_10_linear_1.0_10000_0.00001.tsv	Random Forests	1	Class	0.9779081713292239
