minibatch_size	ds_layers	ae_layers	code_size	scaling	loss_weight	minibatch_iterations	learning_rate	batch_value	batch_unadjusted_value	batch_score	class_value	class_unadjusted_value	class_score	batch_rank	class_rank	combined_rank
50	20	2	50	linear	2	10000	0.001	0.49988580246913583	0.7079203703703704	-1.141975308641685e-4	0.9747366079529822	0.9380248669722354	0.03671174098074681	0.9986405655247417	0.9918433931484503	0.49524752352287355
25	20	5	10	linear	1	10000	1e-4	0.4995164609053498	0.7079203703703704	-4.835390946502094e-4	0.974943283927202	0.9380248669722354	0.03691841695496656	0.9932028276237085	0.9923871669385536	0.4928208701504263
25	5	5	20	linear	2	10000	0.001	0.4988298353909465	0.7079203703703704	-0.0011701646090535034	0.9760936374971463	0.9380248669722354	0.03806877052491087	0.9823273518216422	0.9967373572593801	0.48956118430915446
25	20	5	50	linear	1	10000	1e-5	0.49995082304526745	0.7079203703703704	-4.91769547325549e-5	0.9727226641846525	0.9380248669722354	0.03469779721241706	0.9991843393148451	0.9747145187601958	0.4869597412239967
25	10	5	10	linear	4	10000	1e-4	0.4982244855967078	0.7079203703703704	-0.001775514403292211	0.9761785981888321	0.9380248669722354	0.03815373121659671	0.9728113104948342	0.9972811310494835	0.48508318201400924
100	10	5	20	linear	2	10000	1e-5	0.4979148148148148	0.7079203703703704	-0.00208518518518519	0.9747628403257058	0.9380248669722354	0.0367379733534704	0.9687330070690593	0.9921152800435019	0.4805474092978517
100	10	10	20	linear	4	10000	0.001	0.49803436213991775	0.7079203703703704	-0.0019656378600822477	0.9736899911607515	0.9380248669722354	0.035665124188516084	0.9698205546492659	0.9850462207721588	0.4776590360922091
25	5	5	10	linear	2	10000	1e-4	0.49848950617283955	0.7079203703703704	-0.0015104938271604529	0.9726775240152433	0.9380248669722354	0.034652657043007906	0.9760739532354541	0.9738988580750407	0.4752986542263997
25	20	5	20	linear	1	10000	1e-4	0.5020572016460905	0.7079203703703704	-0.0020572016460904674	0.9729805463358095	0.9380248669722354	0.03495567936357413	0.9690048939641109	0.9787928221859706	0.4742275174375747
50	5	2	50	linear	1	10000	0.001	0.5025825102880659	0.7079203703703704	-0.0025825102880658868	0.9732526166517395	0.9380248669722354	0.03522774967950404	0.9616639477977161	0.9809679173463839	0.47168074002911364
50	10	2	20	linear	1	10000	1e-4	0.49780473251028806	0.7079203703703704	-0.0021952674897119384	0.9726341180361647	0.9380248669722354	0.034609251063929314	0.9676454594888526	0.9728113104948342	0.47066822376986334
50	20	5	10	linear	1	10000	1e-4	0.49827057613168724	0.7079203703703704	-0.0017294238683127627	0.9719537593148705	0.9380248669722354	0.033928892342635075	0.9736269711799891	0.9646547036432844	0.4696069186713705
25	20	5	50	linear	1	10000	0.001	0.5027051440329219	0.7079203703703704	-0.00270514403292188	0.9727477770167828	0.9380248669722354	0.03472291004454742	0.9592169657422512	0.9749864056552474	0.4676117508362851
50	10	2	20	linear	2	10000	1e-4	0.5035109053497941	0.7079203703703704	-0.0035109053497941467	0.9738737421632159	0.9380248669722354	0.035848875190980456	0.9467101685698749	0.987221315932572	0.4673062292111495
25	5	5	10	linear	4	100	1e-5	0.4962724279835391	0.7079203703703704	-0.0037275720164609005	0.973459929227473	0.9380248669722354	0.035435062255237626	0.9431756389342034	0.9831430125067971	0.46363826949239795
50	5	5	20	linear	1	10000	0.001	0.4986008230452674	0.7079203703703704	-0.0013991769547325728	0.9704833049423693	0.9380248669722354	0.032458437970133924	0.9787928221859706	0.9431756389342034	0.46158677272473253
50	5	2	20	linear	1	10000	1e-4	0.49774670781893005	0.7079203703703704	-0.0022532921810699547	0.9711266090652055	0.9380248669722354	0.03310174209297012	0.9662860250135944	0.9526916802610114	0.46028632839146744
100	5	10	10	linear	4	10000	1e-4	0.5026711934156378	0.7079203703703704	-0.002671193415637818	0.9712752372255296	0.9380248669722354	0.03325037025329414	0.9597607395323545	0.9551386623164764	0.4583522944504026
25	5	2	50	linear	1	10000	0.001	0.49679320987654324	0.7079203703703704	-0.0032067901234567597	0.9717623251906877	0.9380248669722354	0.03373745821845231	0.9516041326808048	0.9616639477977161	0.4575616934872222
100	20	2	50	linear	2	10000	0.001	0.5035240740740741	0.7079203703703704	-0.0035240740740740684	0.9719310172745844	0.9380248669722354	0.033906150302349	0.9461663947797716	0.9643828167482328	0.4562333064551183
100	20	10	10	linear	4	10000	0.001	0.5036917695473251	0.7079203703703704	-0.0036917695473250856	0.9718637350801094	0.9380248669722354	0.033838868107873954	0.9437194127243067	0.9638390429581294	0.45479680779060183
50	20	5	50	linear	1	10000	0.001	0.5040923868312757	0.7079203703703704	-0.004092386831275663	0.9723995047679258	0.9380248669722354	0.03437463779569039	0.9350190320826536	0.9706362153344209	0.45378166728318015
100	5	2	20	linear	2	10000	1e-4	0.5001471193415638	0.7079203703703704	-1.4711934156375062e-4	0.9682612363825813	0.9380248669722354	0.03023636941034591	0.9978249048395867	0.9083741163675911	0.45319915811161765
50	10	10	10	linear	2	10000	0.001	0.4968909465020576	0.7079203703703704	-0.0031090534979423823	0.9708055277499721	0.9380248669722354	0.03278066077773667	0.9543230016313213	0.9483414899401849	0.4525120486256184
50	10	10	10	linear	1	10000	1e-5	0.5014351851851853	0.7079203703703704	-0.0014351851851852615	0.9692846940507759	0.9380248669722354	0.03125982707854047	0.9782490483958673	0.922784121805329	0.4513563445154396
100	10	5	10	linear	2	10000	1e-4	0.5042314814814814	0.7079203703703704	-0.004231481481481447	0.9722663891962138	0.9380248669722354	0.03424152222397836	0.9312126155519304	0.9684611201740077	0.450921606388795
50	5	10	20	linear	2	10000	1e-4	0.5040629629629629	0.7079203703703704	-0.004062962962962935	0.9717900868704963	0.9380248669722354	0.03376521989826087	0.9366503534529635	0.9622077215878194	0.4506261012602009
50	5	10	50	linear	4	10000	1e-4	0.5013485596707818	0.7079203703703704	-0.001348559670781846	0.9687581441090213	0.9380248669722354	0.030733277136785864	0.9798803697661773	0.9159869494290375	0.448778815353759
50	5	5	10	linear	4	10000	0.001	0.4968304526748971	0.7079203703703704	-0.003169547325102884	0.9700566575347278	0.9380248669722354	0.03203179056249239	0.9524197933659597	0.9352909189777052	0.4453947918949023
50	20	10	20	linear	4	10000	0.001	0.4993905349794239	0.7079203703703704	-6.094650205761276e-4	0.9673842043798184	0.9380248669722354	0.029359337407583008	0.9907558455682436	0.8953235454051115	0.44352351814249946
25	5	2	20	linear	1	10000	0.001	0.49898786008230456	0.7079203703703704	-0.0010121399176954426	0.9670989922671209	0.9380248669722354	0.02907412529488551	0.9842305600870038	0.8907014681892332	0.4383278024531028
