"variable","value","L1","iteration"
"Batch",0.9775,"crossmod",5
"ComBat",0.98,"crossmod",5
"Avg",0.969166666666667,"crossmod",5
"n_Avg",0.975833333333333,"crossmod",5
"CS_Avg",0.979166666666667,"crossmod",5
"Reg_a",0.986666666666667,"crossmod",5
"Reg_s",0.988333333333333,"crossmod",5
"Batch",0.959150326797386,"lasso",6
"ComBat",0.954248366013072,"lasso",6
"Avg",0.906862745098039,"lasso",6
"n_Avg",0.906045751633987,"lasso",6
"CS_Avg",0.959150326797386,"lasso",6
"Reg_a",0.910947712418301,"lasso",6
"Reg_s",0.912581699346405,"lasso",6
"Batch",0.949346405228758,"rf",6
"ComBat",0.925653594771242,"rf",6
"Avg",0.943627450980392,"rf",6
"n_Avg",0.944444444444444,"rf",6
"CS_Avg",0.945261437908497,"rf",6
"Reg_a",0.944444444444444,"rf",6
"Reg_s",0.944444444444444,"rf",6
"Batch",0.836601307189543,"svm",6
"ComBat",0.97875816993464,"svm",6
"Avg",0.946895424836601,"svm",6
"n_Avg",0.959150326797386,"svm",6
"CS_Avg",0.970588235294118,"svm",6
"Reg_a",0.959967320261438,"svm",6
"Reg_s",0.96078431372549,"svm",6
"Batch",0.949346405228758,"crossmod",6
"ComBat",0.925653594771242,"crossmod",6
"Avg",0.954248366013072,"crossmod",6
"n_Avg",0.957516339869281,"crossmod",6
"CS_Avg",0.950980392156863,"crossmod",6
"Reg_a",0.959150326797386,"crossmod",6
"Reg_s",0.964052287581699,"crossmod",6
"Batch",0.981224489795918,"lasso",7
"ComBat",0.963265306122449,"lasso",7
"Avg",0.950204081632653,"lasso",7
"n_Avg",0.957551020408163,"lasso",7
"CS_Avg",0.986938775510204,"lasso",7
"Reg_a",0.957551020408163,"lasso",7
"Reg_s",0.951020408163265,"lasso",7
"Batch",0.982857142857143,"rf",7
"ComBat",0.978775510204082,"rf",7
"Avg",0.969795918367347,"rf",7
"n_Avg",0.971428571428572,"rf",7
"CS_Avg",0.981224489795918,"rf",7
"Reg_a",0.971428571428572,"rf",7
"Reg_s",0.982857142857143,"rf",7
"Batch",0.841632653061224,"svm",7
"ComBat",0.988571428571429,"svm",7
"Avg",0.984489795918367,"svm",7
"n_Avg",0.983673469387755,"svm",7
"CS_Avg",0.987755102040816,"svm",7
"Reg_a",0.983673469387755,"svm",7
"Reg_s",0.987755102040816,"svm",7
"Batch",0.982857142857143,"crossmod",7
"ComBat",0.978775510204082,"crossmod",7
"Avg",0.973877551020408,"crossmod",7
"n_Avg",0.977142857142857,"crossmod",7
"CS_Avg",0.982040816326531,"crossmod",7
"Reg_a",0.982857142857143,"crossmod",7
"Reg_s",0.989387755102041,"crossmod",7
"Batch",0.990953947368421,"lasso",8
"ComBat",0.960526315789474,"lasso",8
"Avg",0.931743421052632,"lasso",8
"n_Avg",0.926809210526316,"lasso",8
"CS_Avg",0.992598684210526,"lasso",8
"Reg_a",0.940789473684211,"lasso",8
"Reg_s",0.921875,"lasso",8
"Batch",0.980263157894737,"rf",8
"ComBat",0.965460526315789,"rf",8
"Avg",0.961348684210526,"rf",8
"n_Avg",0.962171052631579,"rf",8
"CS_Avg",0.962171052631579,"rf",8
"Reg_a",0.962171052631579,"rf",8
"Reg_s",0.962171052631579,"rf",8
"Batch",0.939144736842105,"svm",8
"ComBat",0.992598684210526,"svm",8
"Avg",0.986842105263158,"svm",8
"n_Avg",0.986019736842105,"svm",8
"CS_Avg",0.994243421052632,"svm",8
"Reg_a",0.989309210526316,"svm",8
"Reg_s",0.989309210526316,"svm",8
"Batch",0.980263157894737,"crossmod",8
"ComBat",0.965460526315789,"crossmod",8
"Avg",0.972039473684211,"crossmod",8
"n_Avg",0.975328947368421,"crossmod",8
"CS_Avg",0.980263157894737,"crossmod",8
"Reg_a",0.989309210526316,"crossmod",8
"Reg_s",0.991776315789474,"crossmod",8
"Batch",0.948190789473684,"lasso",9
"ComBat",0.945723684210526,"lasso",9
"Avg",0.866776315789474,"lasso",9
"n_Avg",0.872532894736842,"lasso",9
"CS_Avg",0.90625,"lasso",9
"Reg_a",0.872532894736842,"lasso",9
"Reg_s",0.865131578947368,"lasso",9
"Batch",0.892269736842105,"rf",9
"ComBat",0.875,"rf",9
"Avg",0.888157894736842,"rf",9
"n_Avg",0.899671052631579,"rf",9
"CS_Avg",0.90625,"rf",9
"Reg_a",0.899671052631579,"rf",9
"Reg_s",0.90625,"rf",9
"Batch",0.819901315789474,"svm",9
"ComBat",0.972861842105263,"svm",9
"Avg",0.918585526315789,"svm",9
"n_Avg",0.918585526315789,"svm",9
"CS_Avg",0.938322368421053,"svm",9
"Reg_a",0.918585526315789,"svm",9
"Reg_s",0.912828947368421,"svm",9
"Batch",0.892269736842105,"crossmod",9
"ComBat",0.875,"crossmod",9
"Avg",0.902138157894737,"crossmod",9
"n_Avg",0.895559210526316,"crossmod",9
"CS_Avg",0.914473684210526,"crossmod",9
"Reg_a",0.914473684210526,"crossmod",9
"Reg_s",0.920230263157895,"crossmod",9
"Batch",0.988486842105263,"lasso",10
"ComBat",0.972861842105263,"lasso",10
"Avg",0.9375,"lasso",10
"n_Avg",0.945723684210526,"lasso",10
"CS_Avg",0.988486842105263,"lasso",10
"Reg_a",0.948190789473684,"lasso",10
"Reg_s",0.958059210526316,"lasso",10
"Batch",0.983552631578947,"rf",10
"ComBat",0.980263157894737,"rf",10
"Avg",0.976973684210526,"rf",10
"n_Avg",0.980263157894737,"rf",10
"CS_Avg",0.981907894736842,"rf",10
"Reg_a",0.980263157894737,"rf",10
"Reg_s",0.981907894736842,"rf",10
"Batch",0.848684210526316,"svm",10
"ComBat",0.991776315789474,"svm",10
"Avg",0.982730263157895,"svm",10
"n_Avg",0.986842105263158,"svm",10
"CS_Avg",0.986842105263158,"svm",10
"Reg_a",0.986842105263158,"svm",10
"Reg_s",0.990131578947368,"svm",10
"Batch",0.983552631578947,"crossmod",10
"ComBat",0.980263157894737,"crossmod",10
"Avg",0.975328947368421,"crossmod",10
"n_Avg",0.979440789473684,"crossmod",10
"CS_Avg",0.984375,"crossmod",10
"Reg_a",0.986842105263158,"crossmod",10
"Reg_s",0.988486842105263,"crossmod",10
"Batch",0.952797202797203,"lasso",11
"ComBat",0.953671328671329,"lasso",11
"Avg",0.841783216783217,"lasso",11
"n_Avg",0.83479020979021,"lasso",11
"CS_Avg",0.901223776223776,"lasso",11
"Reg_a",0.840034965034965,"lasso",11
"Reg_s",0.848776223776224,"lasso",11
"Batch",0.91520979020979,"rf",11
"ComBat",0.88986013986014,"rf",11
"Avg",0.907342657342657,"rf",11
"n_Avg",0.908216783216783,"rf",11
"CS_Avg",0.896853146853147,"rf",11
"Reg_a",0.908216783216783,"rf",11
"Reg_s",0.901223776223776,"rf",11
"Batch",0.848776223776224,"svm",11
"ComBat",0.979020979020979,"svm",11
"Avg",0.916083916083916,"svm",11
"n_Avg",0.91958041958042,"svm",11
"CS_Avg",0.969405594405594,"svm",11
"Reg_a",0.920454545454546,"svm",11
"Reg_s",0.920454545454546,"svm",11
"Batch",0.91520979020979,"crossmod",11
"ComBat",0.88986013986014,"crossmod",11
"Avg",0.90472027972028,"crossmod",11
"n_Avg",0.90472027972028,"crossmod",11
"CS_Avg",0.916083916083916,"crossmod",11
"Reg_a",0.91958041958042,"crossmod",11
"Reg_s",0.925699300699301,"crossmod",11
"Batch",0.972861842105263,"lasso",12
"ComBat",0.979440789473684,"lasso",12
"Avg",0.892269736842105,"lasso",12
"n_Avg",0.898848684210526,"lasso",12
"CS_Avg",0.935032894736842,"lasso",12
"Reg_a",0.898848684210526,"lasso",12
"Reg_s",0.89391447368421,"lasso",12
"Batch",0.94078947368421,"rf",12
"ComBat",0.933388157894737,"rf",12
"Avg",0.943256578947368,"rf",12
"n_Avg",0.947368421052632,"rf",12
"CS_Avg",0.947368421052632,"rf",12
"Reg_a",0.947368421052632,"rf",12
"Reg_s",0.947368421052632,"rf",12
"Batch",0.868421052631579,"svm",12
"ComBat",0.982730263157895,"svm",12
"Avg",0.951480263157895,"svm",12
"n_Avg",0.952302631578947,"svm",12
"CS_Avg",0.967105263157895,"svm",12
"Reg_a",0.952302631578947,"svm",12
"Reg_s",0.954769736842105,"svm",12
"Batch",0.94078947368421,"crossmod",12
"ComBat",0.933388157894737,"crossmod",12
"Avg",0.939144736842105,"crossmod",12
"n_Avg",0.931743421052632,"crossmod",12
"CS_Avg",0.951480263157895,"crossmod",12
"Reg_a",0.953947368421053,"crossmod",12
"Reg_s",0.958881578947368,"crossmod",12
"Batch",0.970588235294118,"lasso",13
"ComBat",0.95016339869281,"lasso",13
"Avg",0.879084967320261,"lasso",13
"n_Avg",0.906045751633987,"lasso",13
"CS_Avg",0.936274509803921,"lasso",13
"Reg_a",0.906045751633987,"lasso",13
"Reg_s",0.923202614379085,"lasso",13
"Batch",0.946078431372549,"rf",13
"ComBat",0.928104575163399,"rf",13
"Avg",0.929738562091503,"rf",13
"n_Avg",0.943627450980392,"rf",13
"CS_Avg",0.938725490196078,"rf",13
"Reg_a",0.943627450980392,"rf",13
"Reg_s",0.941176470588235,"rf",13
"Batch",0.78921568627451,"svm",13
"ComBat",0.973039215686274,"svm",13
"Avg",0.955882352941176,"svm",13
"n_Avg",0.963235294117647,"svm",13
"CS_Avg",0.954248366013072,"svm",13
"Reg_a",0.963235294117647,"svm",13
"Reg_s",0.965686274509804,"svm",13
"Batch",0.946078431372549,"crossmod",13
"ComBat",0.928104575163399,"crossmod",13
"Avg",0.938725490196078,"crossmod",13
"n_Avg",0.943627450980392,"crossmod",13
"CS_Avg",0.948529411764706,"crossmod",13
"Reg_a",0.965686274509804,"crossmod",13
"Reg_s",0.965686274509804,"crossmod",13
"Batch",0.990646258503401,"lasso",14
"ComBat",0.979591836734694,"lasso",14
"Avg",0.943877551020408,"lasso",14
"n_Avg",0.950680272108844,"lasso",14
"CS_Avg",0.976190476190476,"lasso",14
"Reg_a",0.950680272108844,"lasso",14
"Reg_s",0.956632653061224,"lasso",14
"Batch",0.974489795918367,"rf",14
