"variable","value","L1","iteration"
"Batch",0.360778972351171,"lasso",1
"ComBat",0.43422172110881,"lasso",1
"Avg",0.367080406175909,"lasso",1
"n_Avg",0.362521177385462,"lasso",1
"CS_Avg",0.36006093418077,"lasso",1
"Reg_a",0.362361974385935,"lasso",1
"Reg_s",0.355139180364769,"lasso",1
"Batch",0.475180343669811,"rf",1
"ComBat",0.461316374608896,"rf",1
"Avg",0.341397320591073,"rf",1
"n_Avg",0.338447107225646,"rf",1
"CS_Avg",0.338375248634082,"rf",1
"Reg_a",0.338353350787944,"rf",1
"Reg_s",0.326242649290855,"rf",1
"Batch",0.266097864871398,"svm",1
"ComBat",0.415910250056045,"svm",1
"Avg",0.2942715509498,"svm",1
"n_Avg",0.294952008163407,"svm",1
"CS_Avg",0.333642157207864,"svm",1
"Reg_a",0.294656040091778,"svm",1
"Reg_s",0.300389342652653,"svm",1
"Batch",0.475180343669811,"crossmod",1
"ComBat",0.461316374608896,"crossmod",1
"Avg",0.326774626087586,"crossmod",1
"n_Avg",0.325535870865365,"crossmod",1
"CS_Avg",0.321657003727818,"crossmod",1
"Reg_a",0.300289148114885,"crossmod",1
"Reg_s",0.30269345198111,"crossmod",1
"Batch",0.377103974516951,"lasso",2
"ComBat",0.359662922684778,"lasso",2
"Avg",0.388129052000208,"lasso",2
"n_Avg",0.376399688325316,"lasso",2
"CS_Avg",0.349789697101019,"lasso",2
"Reg_a",0.376637160528556,"lasso",2
"Reg_s",0.361580074574237,"lasso",2
"Batch",0.472555009519052,"rf",2
"ComBat",0.418871990553859,"rf",2
"Avg",0.375415708324442,"rf",2
"n_Avg",0.372851592620567,"rf",2
"CS_Avg",0.365571698553991,"rf",2
"Reg_a",0.372845968144604,"rf",2
"Reg_s",0.374116075885892,"rf",2
"Batch",0.475061042308196,"svm",2
"ComBat",0.503279555285036,"svm",2
"Avg",0.421528014008927,"svm",2
"n_Avg",0.424269119688031,"svm",2
"CS_Avg",0.442124457454449,"svm",2
"Reg_a",0.424294090346821,"svm",2
"Reg_s",0.429544852825745,"svm",2
"Batch",0.472555009519052,"crossmod",2
"ComBat",0.418871990553859,"crossmod",2
"Avg",0.373681794696347,"crossmod",2
"n_Avg",0.369786034489522,"crossmod",2
"CS_Avg",0.367113433191179,"crossmod",2
"Reg_a",0.40106448731603,"crossmod",2
"Reg_s",0.432539358744442,"crossmod",2
"Batch",0.386135190881806,"lasso",3
"ComBat",0.5256836246467,"lasso",3
"Avg",0.427442587444817,"lasso",3
"n_Avg",0.42074649101007,"lasso",3
"CS_Avg",0.409659681501961,"lasso",3
"Reg_a",0.42083499152539,"lasso",3
"Reg_s",0.413374187715741,"lasso",3
