"variable","value","L1","iteration"
"Batch",0.309714817044925,"lasso",1
"ComBat",0.305087575322283,"lasso",1
"Avg",0.327726410923046,"lasso",1
"n_Avg",0.331356988285698,"lasso",1
"CS_Avg",0.340730535115658,"lasso",1
"Reg_a",0.33130938477925,"lasso",1
"Reg_s",0.341243664445565,"lasso",1
"Batch",0.379649321825984,"rf",1
"ComBat",0.350257934583215,"rf",1
"Avg",0.322991514191844,"rf",1
"n_Avg",0.318948520678597,"rf",1
"CS_Avg",0.315155166293246,"rf",1
"Reg_a",0.318931894924792,"rf",1
"Reg_s",0.313945023581348,"rf",1
"Batch",0.283912192461169,"svm",1
"ComBat",0.312002711798357,"svm",1
"Avg",0.305483341485056,"svm",1
"n_Avg",0.309867271330236,"svm",1
"CS_Avg",0.324175296271059,"svm",1
"Reg_a",0.310212106643676,"svm",1
"Reg_s",0.317824399017093,"svm",1
"Batch",0.379649321825984,"crossmod",1
"ComBat",0.350257934583215,"crossmod",1
"Avg",0.314230131945054,"crossmod",1
"n_Avg",0.314788266519139,"crossmod",1
"CS_Avg",0.311397088252305,"crossmod",1
"Reg_a",0.316096330543194,"crossmod",1
"Reg_s",0.313145534234434,"crossmod",1
"Batch",0.338201317928094,"lasso",2
"ComBat",0.346753271595083,"lasso",2
"Avg",0.35600678860658,"lasso",2
"n_Avg",0.363815677230174,"lasso",2
"CS_Avg",0.366703423342569,"lasso",2
"Reg_a",0.363393475046819,"lasso",2
"Reg_s",0.373840357062452,"lasso",2
"Batch",0.389739401972062,"rf",2
"ComBat",0.373849285499615,"rf",2
"Avg",0.334252320659585,"rf",2
"n_Avg",0.333877110327936,"rf",2
"CS_Avg",0.335885246307473,"rf",2
"Reg_a",0.33386909570046,"rf",2
"Reg_s",0.336240899386976,"rf",2
"Batch",0.342230854448418,"svm",2
"ComBat",0.366119695112601,"svm",2
"Avg",0.333432141146772,"svm",2
"n_Avg",0.340244366612609,"svm",2
"CS_Avg",0.360874513079719,"svm",2
"Reg_a",0.340286159519666,"svm",2
"Reg_s",0.350384219100578,"svm",2
"Batch",0.389739401972062,"crossmod",2
"ComBat",0.373849285499615,"crossmod",2
"Avg",0.337258055293384,"crossmod",2
"n_Avg",0.341401359178112,"crossmod",2
"CS_Avg",0.335634911892512,"crossmod",2
"Reg_a",0.348366006371507,"crossmod",2
"Reg_s",0.344717751956008,"crossmod",2
"Batch",0.340727654624482,"lasso",3
"ComBat",0.32714327026801,"lasso",3
"Avg",0.299643601024046,"lasso",3
"n_Avg",0.300644889070337,"lasso",3
"CS_Avg",0.299917875322316,"lasso",3
"Reg_a",0.300424202617501,"lasso",3
"Reg_s",0.30293709585681,"lasso",3
"Batch",0.363899689773578,"rf",3
"ComBat",0.336723163800827,"rf",3
"Avg",0.313912684710496,"rf",3
"n_Avg",0.309319996688531,"rf",3
"CS_Avg",0.304834684139939,"rf",3
"Reg_a",0.309302331354215,"rf",3
"Reg_s",0.303393636789211,"rf",3
"Batch",0.262882758356001,"svm",3
"ComBat",0.289815325309326,"svm",3
"Avg",0.290678751148615,"svm",3
"n_Avg",0.291820344155756,"svm",3
"CS_Avg",0.301277426151224,"svm",3
"Reg_a",0.291954923876441,"svm",3
"Reg_s",0.295943663156686,"svm",3
"Batch",0.363899689773578,"crossmod",3
"ComBat",0.336723163800827,"crossmod",3
"Avg",0.297222638903115,"crossmod",3
"n_Avg",0.295846180871869,"crossmod",3
"CS_Avg",0.294029358101679,"crossmod",3
"Reg_a",0.301914962004736,"crossmod",3
"Reg_s",0.301552949625081,"crossmod",3
"Batch",0.363522563960578,"lasso",4
"ComBat",0.407128303851946,"lasso",4
"Avg",0.353046578743479,"lasso",4
"n_Avg",0.366235652584163,"lasso",4
"CS_Avg",0.367498804167667,"lasso",4
"Reg_a",0.365530992187847,"lasso",4
"Reg_s",0.379445096433712,"lasso",4
