"variable","value","L1","iteration"
"Batch",0.91566265060241,"lasso",1
"ComBat",0.8,"lasso",1
"Avg",0.896551724137931,"lasso",1
"n_Avg",0.917647058823529,"lasso",1
"CS_Avg",0.876404494382023,"lasso",1
"Reg_a",0.917647058823529,"lasso",1
"Reg_s",0.906976744186046,"lasso",1
"Batch",0.821052631578947,"rf",1
"ComBat",0.75,"rf",1
"Avg",0.886363636363636,"rf",1
"n_Avg",0.886363636363636,"rf",1
"CS_Avg",0.847826086956522,"rf",1
"Reg_a",0.886363636363636,"rf",1
"Reg_s",0.896551724137931,"rf",1
"Batch",0.928571428571428,"svm",1
"ComBat",0.791666666666667,"svm",1
"Avg",0.917647058823529,"svm",1
"n_Avg",0.917647058823529,"svm",1
"CS_Avg",0.829787234042553,"svm",1
"Reg_a",0.917647058823529,"svm",1
"Reg_s",0.896551724137931,"svm",1
"Batch",0.821052631578947,"crossmod",1
"ComBat",0.75,"crossmod",1
"Avg",0.906976744186046,"crossmod",1
"n_Avg",0.906976744186046,"crossmod",1
"CS_Avg",0.906976744186046,"crossmod",1
"Reg_a",0.917647058823529,"crossmod",1
"Reg_s",0.876404494382023,"crossmod",1
"Batch",0.917431192660551,"lasso",2
"ComBat",0.88695652173913,"lasso",2
"Avg",0.890909090909091,"lasso",2
"n_Avg",0.882882882882883,"lasso",2
"CS_Avg",0.882882882882883,"lasso",2
"Reg_a",0.882882882882883,"lasso",2
"Reg_s",0.890909090909091,"lasso",2
"Batch",0.834782608695652,"rf",2
"ComBat",0.873949579831933,"rf",2
"Avg",0.882882882882883,"rf",2
"n_Avg",0.890909090909091,"rf",2
"CS_Avg",0.882882882882883,"rf",2
"Reg_a",0.890909090909091,"rf",2
"Reg_s",0.890909090909091,"rf",2
"Batch",0.85981308411215,"svm",2
"ComBat",0.867256637168142,"svm",2
"Avg",0.899082568807339,"svm",2
"n_Avg",0.888888888888889,"svm",2
"CS_Avg",0.859649122807018,"svm",2
"Reg_a",0.888888888888889,"svm",2
"Reg_s",0.87037037037037,"svm",2
"Batch",0.834782608695652,"crossmod",2
"ComBat",0.873949579831933,"crossmod",2
"Avg",0.890909090909091,"crossmod",2
"n_Avg",0.899082568807339,"crossmod",2
"CS_Avg",0.890909090909091,"crossmod",2
"Reg_a",0.899082568807339,"crossmod",2
"Reg_s",0.87037037037037,"crossmod",2
"Batch",0.898876404494382,"lasso",3
"ComBat",0.772277227722772,"lasso",3
"Avg",0.795698924731183,"lasso",3
"n_Avg",0.826086956521739,"lasso",3
"CS_Avg",0.865979381443299,"lasso",3
"Reg_a",0.826086956521739,"lasso",3
"Reg_s",0.817204301075269,"lasso",3
"Batch",0.785046728971963,"rf",3
"ComBat",0.792452830188679,"rf",3
"Avg",0.828282828282828,"rf",3
"n_Avg",0.828282828282828,"rf",3
"CS_Avg",0.84,"rf",3
"Reg_a",0.828282828282828,"rf",3
"Reg_s",0.795698924731183,"rf",3
"Batch",0.804347826086957,"svm",3
"ComBat",0.82,"svm",3
"Avg",0.770833333333333,"svm",3
"n_Avg",0.795698924731183,"svm",3
"CS_Avg",0.82,"svm",3
"Reg_a",0.795698924731183,"svm",3
"Reg_s",0.770833333333333,"svm",3
"Batch",0.785046728971963,"crossmod",3
"ComBat",0.792452830188679,"crossmod",3
"Avg",0.787234042553192,"crossmod",3
"n_Avg",0.770833333333333,"crossmod",3
"CS_Avg",0.82,"crossmod",3
"Reg_a",0.770833333333333,"crossmod",3
"Reg_s",0.795698924731183,"crossmod",3
"Batch",0.853932584269663,"lasso",4
"ComBat",0.773584905660377,"lasso",4
"Avg",0.865979381443299,"lasso",4
"n_Avg",0.865979381443299,"lasso",4
"CS_Avg",0.857142857142857,"lasso",4
"Reg_a",0.865979381443299,"lasso",4
"Reg_s",0.857142857142857,"lasso",4
"Batch",0.84,"rf",4
"ComBat",0.792452830188679,"rf",4
"Avg",0.8125,"rf",4
"n_Avg",0.8125,"rf",4
"CS_Avg",0.848484848484849,"rf",4
"Reg_a",0.8125,"rf",4
"Reg_s",0.857142857142857,"rf",4
"Batch",0.817204301075269,"svm",4
"ComBat",0.783505154639175,"svm",4
"Avg",0.821052631578947,"svm",4
"n_Avg",0.821052631578947,"svm",4
"CS_Avg",0.772277227722772,"svm",4
"Reg_a",0.821052631578947,"svm",4
"Reg_s",0.821052631578947,"svm",4
"Batch",0.84,"crossmod",4
"ComBat",0.792452830188679,"crossmod",4
"Avg",0.857142857142857,"crossmod",4
"n_Avg",0.857142857142857,"crossmod",4
"CS_Avg",0.857142857142857,"crossmod",4
"Reg_a",0.821052631578947,"crossmod",4
"Reg_s",0.875,"crossmod",4
"Batch",0.870588235294118,"lasso",5
"ComBat",0.82,"lasso",5
"Avg",0.901098901098901,"lasso",5
"n_Avg",0.901098901098901,"lasso",5
"CS_Avg",0.872340425531915,"lasso",5
"Reg_a",0.901098901098901,"lasso",5
"Reg_s",0.872340425531915,"lasso",5
"Batch",0.803921568627451,"rf",5
"ComBat",0.766355140186916,"rf",5
"Avg",0.842105263157895,"rf",5
"n_Avg",0.851063829787234,"rf",5
"CS_Avg",0.872340425531915,"rf",5
"Reg_a",0.851063829787234,"rf",5
"Reg_s",0.881720430107527,"rf",5
"Batch",0.847826086956522,"svm",5
"ComBat",0.804123711340206,"svm",5
"Avg",0.851063829787234,"svm",5
"n_Avg",0.851063829787234,"svm",5
"CS_Avg",0.824742268041237,"svm",5
"Reg_a",0.860215053763441,"svm",5
"Reg_s",0.851063829787234,"svm",5
"Batch",0.803921568627451,"crossmod",5
"ComBat",0.766355140186916,"crossmod",5
"Avg",0.860215053763441,"crossmod",5
"n_Avg",0.860215053763441,"crossmod",5
"CS_Avg",0.851063829787234,"crossmod",5
"Reg_a",0.851063829787234,"crossmod",5
"Reg_s",0.851063829787234,"crossmod",5
"Batch",0.865979381443299,"lasso",6
"ComBat",0.819047619047619,"lasso",6
"Avg",0.895833333333333,"lasso",6
"n_Avg",0.895833333333333,"lasso",6
"CS_Avg",0.909090909090909,"lasso",6
"Reg_a",0.895833333333333,"lasso",6
"Reg_s",0.909090909090909,"lasso",6
"Batch",0.865384615384615,"rf",6
"ComBat",0.825688073394495,"rf",6
"Avg",0.895833333333333,"rf",6
"n_Avg",0.895833333333333,"rf",6
"CS_Avg",0.918367346938776,"rf",6
"Reg_a",0.895833333333333,"rf",6
"Reg_s",0.872340425531915,"rf",6
"Batch",0.872340425531915,"svm",6
"ComBat",0.808080808080808,"svm",6
"Avg",0.863157894736842,"svm",6
"n_Avg",0.872340425531915,"svm",6
"CS_Avg",0.851485148514852,"svm",6
"Reg_a",0.872340425531915,"svm",6
"Reg_s",0.836734693877551,"svm",6
"Batch",0.865384615384615,"crossmod",6
"ComBat",0.825688073394495,"crossmod",6
"Avg",0.863157894736842,"crossmod",6
"n_Avg",0.863157894736842,"crossmod",6
"CS_Avg",0.851485148514852,"crossmod",6
"Reg_a",0.828282828282828,"crossmod",6
"Reg_s",0.845360824742268,"crossmod",6
"Batch",0.875,"lasso",7
"ComBat",0.780952380952381,"lasso",7
"Avg",0.888888888888889,"lasso",7
"n_Avg",0.888888888888889,"lasso",7
