"variable","value","L1","iteration"
"Batch",0.229697912841534,"lasso",1
"ComBat",0.287877639445585,"lasso",1
"Avg",0.257132071567898,"lasso",1
"n_Avg",0.259148125934862,"lasso",1
"CS_Avg",0.24702256543167,"lasso",1
"Reg_a",0.258112901499761,"lasso",1
"Reg_s",0.261889272480147,"lasso",1
"Batch",0.294981400827167,"rf",1
"ComBat",0.284722668530856,"rf",1
"Avg",0.277431198087417,"rf",1
"n_Avg",0.276968780730228,"rf",1
"CS_Avg",0.264663053180595,"rf",1
"Reg_a",0.276954926723461,"rf",1
"Reg_s",0.270864232218116,"rf",1
"Batch",0.336437256843828,"svm",1
"ComBat",0.218496609768786,"svm",1
"Avg",0.26105572439125,"svm",1
"n_Avg",0.259291989001324,"svm",1
"CS_Avg",0.263429335651894,"svm",1
"Reg_a",0.259667957753511,"svm",1
"Reg_s",0.262733756839741,"svm",1
"Batch",0.294981400827167,"crossmod",1
"ComBat",0.284722668530856,"crossmod",1
"Avg",0.261053293720515,"crossmod",1
"n_Avg",0.260636513427123,"crossmod",1
"CS_Avg",0.260302717878728,"crossmod",1
"Reg_a",0.274994935672316,"crossmod",1
"Reg_s",0.272767528847964,"crossmod",1
"Batch",0.255735658699663,"lasso",2
"ComBat",0.310715010921845,"lasso",2
"Avg",0.256643384433715,"lasso",2
"n_Avg",0.258029753748285,"lasso",2
"CS_Avg",0.243895267917867,"lasso",2
"Reg_a",0.257094261158153,"lasso",2
"Reg_s",0.26048873970231,"lasso",2
"Batch",0.289996996357739,"rf",2
"ComBat",0.260381338431576,"rf",2
"Avg",0.275203726607983,"rf",2
"n_Avg",0.272508411013385,"rf",2
"CS_Avg",0.279534664620784,"rf",2
"Reg_a",0.27258342361599,"rf",2
"Reg_s",0.272929374622168,"rf",2
"Batch",0.344439337782553,"svm",2
"ComBat",0.152575354085753,"svm",2
"Avg",0.264910071265609,"svm",2
"n_Avg",0.261690530132582,"svm",2
"CS_Avg",0.261023355601481,"svm",2
"Reg_a",0.262477615252266,"svm",2
"Reg_s",0.270775214968678,"svm",2
"Batch",0.289996996357739,"crossmod",2
"ComBat",0.260381338431576,"crossmod",2
"Avg",0.261200324414676,"crossmod",2
"n_Avg",0.259421117098867,"crossmod",2
"CS_Avg",0.260371703671877,"crossmod",2
"Reg_a",0.269575631313233,"crossmod",2
"Reg_s",0.276167853775393,"crossmod",2
"Batch",0.233348701249542,"lasso",3
"ComBat",0.228582441968392,"lasso",3
"Avg",0.276013678644208,"lasso",3
"n_Avg",0.273263457870014,"lasso",3
"CS_Avg",0.254509907414724,"lasso",3
"Reg_a",0.273223414224955,"lasso",3
"Reg_s",0.273281450814098,"lasso",3
"Batch",0.308729936628184,"rf",3
"ComBat",0.280435174946923,"rf",3
"Avg",0.293901917875587,"rf",3
"n_Avg",0.291017230049616,"rf",3
"CS_Avg",0.293480330107008,"rf",3
"Reg_a",0.291089173385785,"rf",3
"Reg_s",0.289424388220972,"rf",3
"Batch",0.320165441182629,"svm",3
"ComBat",0.158962431178706,"svm",3
"Avg",0.277315754795435,"svm",3
"n_Avg",0.272715306197555,"svm",3
"CS_Avg",0.26685613312815,"svm",3
"Reg_a",0.273850619085972,"svm",3
"Reg_s",0.286016152474399,"svm",3
"Batch",0.308729936628184,"crossmod",3
"ComBat",0.280435174946923,"crossmod",3
"Avg",0.278669562592981,"crossmod",3
"n_Avg",0.274878559170832,"crossmod",3
"CS_Avg",0.274666737120647,"crossmod",3
"Reg_a",0.287973794076576,"crossmod",3
"Reg_s",0.299375159272149,"crossmod",3
"Batch",0.22464930126138,"lasso",4
"ComBat",0.246327975881232,"lasso",4
"Avg",0.190302483650947,"lasso",4
"n_Avg",0.189407196170285,"lasso",4
"CS_Avg",0.204849969257109,"lasso",4
"Reg_a",0.189810324801064,"lasso",4
"Reg_s",0.188687686925406,"lasso",4
"Batch",0.260555866767113,"rf",4
"ComBat",0.21495788769118,"rf",4
"Avg",0.214624945363121,"rf",4
"n_Avg",0.213943524753643,"rf",4
"CS_Avg",0.207456932371461,"rf",4
"Reg_a",0.213945038525536,"rf",4
"Reg_s",0.210096016577289,"rf",4
"Batch",0.263302134701452,"svm",4
"ComBat",0.170560958466922,"svm",4
"Avg",0.177415153822292,"svm",4
"n_Avg",0.174948516615544,"svm",4
"CS_Avg",0.173605228258131,"svm",4
"Reg_a",0.175550387853847,"svm",4
"Reg_s",0.182382566932241,"svm",4
"Batch",0.260555866767113,"crossmod",4
"ComBat",0.21495788769118,"crossmod",4
"Avg",0.190418265654527,"crossmod",4
"n_Avg",0.188655933919619,"crossmod",4
"CS_Avg",0.195047550553144,"crossmod",4
"Reg_a",0.197852384722392,"crossmod",4
"Reg_s",0.197721352805394,"crossmod",4
"Batch",0.243701046907088,"lasso",5
"ComBat",0.269841395340024,"lasso",5
"Avg",0.272948810447702,"lasso",5
"n_Avg",0.266924799484668,"lasso",5
"CS_Avg",0.276470328910557,"lasso",5
"Reg_a",0.268445397664387,"lasso",5
"Reg_s",0.263089597908556,"lasso",5
"Batch",0.321094444996031,"rf",5
"ComBat",0.308965545013485,"rf",5
"Avg",0.321443676521198,"rf",5
"n_Avg",0.319695151634614,"rf",5
"CS_Avg",0.319701948567017,"rf",5
"Reg_a",0.31973515838798,"rf",5
"Reg_s",0.317990014831328,"rf",5
"Batch",0.329235771083498,"svm",5
"ComBat",0.186993485330269,"svm",5
"Avg",0.287604644974987,"svm",5
"n_Avg",0.280345435062478,"svm",5
"CS_Avg",0.302550005342646,"svm",5
"Reg_a",0.281743426554728,"svm",5
"Reg_s",0.283175599323633,"svm",5
"Batch",0.321094444996031,"crossmod",5
"ComBat",0.308965545013485,"crossmod",5
"Avg",0.290355256803791,"crossmod",5
"n_Avg",0.285170381374181,"crossmod",5
"CS_Avg",0.294727923690313,"crossmod",5
"Reg_a",0.291274505333487,"crossmod",5
"Reg_s",0.301166529669931,"crossmod",5
"Batch",0.243932641288562,"lasso",6
"ComBat",0.315470903656735,"lasso",6
"Avg",0.226591853451898,"lasso",6
"n_Avg",0.224851004025137,"lasso",6
"CS_Avg",0.238163205134191,"lasso",6
"Reg_a",0.225402569555642,"lasso",6
"Reg_s",0.223727674691762,"lasso",6
"Batch",0.287968847972828,"rf",6
"ComBat",0.268933376133178,"rf",6
"Avg",0.26648563579021,"rf",6
"n_Avg",0.264917363210865,"rf",6
"CS_Avg",0.246586831599721,"rf",6
"Reg_a",0.264921549603766,"rf",6
"Reg_s",0.255470663513675,"rf",6
"Batch",0.334002384283023,"svm",6
"ComBat",0.172937484957628,"svm",6
"Avg",0.24826422129997,"svm",6
"n_Avg",0.243497494075698,"svm",6
"CS_Avg",0.2652617953533,"svm",6
"Reg_a",0.244337361487153,"svm",6
"Reg_s",0.242476242730097,"svm",6
"Batch",0.287968847972828,"crossmod",6
"ComBat",0.268933376133178,"crossmod",6
"Avg",0.24336819618355,"crossmod",6
"n_Avg",0.240493943388563,"crossmod",6
"CS_Avg",0.249396785515031,"crossmod",6
"Reg_a",0.253405473644616,"crossmod",6
"Reg_s",0.256680149116866,"crossmod",6
"Batch",0.190195478181347,"lasso",7
"ComBat",0.203869547632464,"lasso",7
"Avg",0.253225982802918,"lasso",7
"n_Avg",0.251195824439845,"lasso",7
"CS_Avg",0.237413411486948,"lasso",7
"Reg_a",0.25105490885709,"lasso",7
"Reg_s",0.251680402578954,"lasso",7
"Batch",0.292677977998395,"rf",7
"ComBat",0.256418431128339,"rf",7
"Avg",0.270627811661774,"rf",7
"n_Avg",0.268428961577791,"rf",7
"CS_Avg",0.271621827833617,"rf",7
"Reg_a",0.268485209112263,"rf",7
