"variable","value","L1","iteration"
"Batch",0.214352904742527,"lasso",1
"ComBat",0.275894827879759,"lasso",1
"Avg",0.257406974219695,"lasso",1
"n_Avg",0.2584437479114,"lasso",1
"CS_Avg",0.254715846643118,"lasso",1
"Reg_a",0.25791936221265,"lasso",1
"Reg_s",0.259913602988845,"lasso",1
"Batch",0.330240043963922,"rf",1
"ComBat",0.301677081484933,"rf",1
"Avg",0.290897130094788,"rf",1
"n_Avg",0.290309747393825,"rf",1
"CS_Avg",0.27506923429892,"rf",1
"Reg_a",0.290295771969858,"rf",1
"Reg_s",0.283107922257137,"rf",1
"Batch",0.451242596673983,"svm",1
"ComBat",0.171190922980274,"svm",1
"Avg",0.258919518088093,"svm",1
"n_Avg",0.255994687435119,"svm",1
"CS_Avg",0.26189777575748,"svm",1
"Reg_a",0.256595646837946,"svm",1
"Reg_s",0.259017243861776,"svm",1
"Batch",0.330240043963922,"crossmod",1
"ComBat",0.301677081484933,"crossmod",1
"Avg",0.266582508387093,"crossmod",1
"n_Avg",0.265577042845692,"crossmod",1
"CS_Avg",0.267797813872053,"crossmod",1
"Reg_a",0.282700533992914,"crossmod",1
"Reg_s",0.277416103201021,"crossmod",1
"Batch",0.246253946651166,"lasso",2
"ComBat",0.335249026634184,"lasso",2
"Avg",0.261328481685868,"lasso",2
"n_Avg",0.262387623669682,"lasso",2
"CS_Avg",0.248701246098913,"lasso",2
"Reg_a",0.261616801111422,"lasso",2
"Reg_s",0.264354736521607,"lasso",2
"Batch",0.323589829267845,"rf",2
"ComBat",0.273016653390713,"rf",2
"Avg",0.287078879153464,"rf",2
"n_Avg",0.283754247975062,"rf",2
"CS_Avg",0.293107766278953,"rf",2
"Reg_a",0.283850385751918,"rf",2
"Reg_s",0.284910691792638,"rf",2
"Batch",0.510909704776241,"svm",2
"ComBat",0.115084571618166,"svm",2
"Avg",0.257438290173011,"svm",2
"n_Avg",0.25345873679575,"svm",2
"CS_Avg",0.246746831147438,"svm",2
"Reg_a",0.254475450722769,"svm",2
"Reg_s",0.265953210671465,"svm",2
"Batch",0.323589829267845,"crossmod",2
"ComBat",0.273016653390713,"crossmod",2
"Avg",0.2663000174842,"crossmod",2
"n_Avg",0.264127280221977,"crossmod",2
"CS_Avg",0.264891651387061,"crossmod",2
"Reg_a",0.278184291962293,"crossmod",2
"Reg_s",0.27930519884123,"crossmod",2
"Batch",0.218500967000018,"lasso",3
"ComBat",0.196640089175764,"lasso",3
"Avg",0.287993358810902,"lasso",3
"n_Avg",0.28358101533042,"lasso",3
