"variable","value","L1","iteration"
"ComBat",0.936708860759494,"crossmod",5
"Avg",0.948717948717949,"crossmod",5
"n_Avg",0.961038961038961,"crossmod",5
"CS_Avg",0.948717948717949,"crossmod",5
"Reg_a",0.961038961038961,"crossmod",5
"Reg_s",0.947368421052632,"crossmod",5
"Batch",0.882352941176471,"lasso",6
"ComBat",0.853333333333333,"lasso",6
"Avg",0.8,"lasso",6
"n_Avg",0.75,"lasso",6
"CS_Avg",0.853333333333333,"lasso",6
"Reg_a",0.78125,"lasso",6
"Reg_s",0.787878787878788,"lasso",6
"Batch",0.864864864864865,"rf",6
"ComBat",0.833333333333333,"rf",6
"Avg",0.810810810810811,"rf",6
"n_Avg",0.821917808219178,"rf",6
"CS_Avg",0.833333333333333,"rf",6
"Reg_a",0.821917808219178,"rf",6
"Reg_s",0.857142857142857,"rf",6
"Batch",0.73972602739726,"svm",6
"ComBat",0.876712328767123,"svm",6
"Avg",0.845070422535211,"svm",6
"n_Avg",0.882352941176471,"svm",6
"CS_Avg",0.82051282051282,"svm",6
"Reg_a",0.882352941176471,"svm",6
"Reg_s",0.895522388059702,"svm",6
"Batch",0.864864864864865,"crossmod",6
"ComBat",0.833333333333333,"crossmod",6
"Avg",0.833333333333333,"crossmod",6
"n_Avg",0.845070422535211,"crossmod",6
"CS_Avg",0.864864864864865,"crossmod",6
"Reg_a",0.882352941176471,"crossmod",6
"Reg_s",0.895522388059702,"crossmod",6
"Batch",0.927536231884058,"lasso",7
"ComBat",0.837837837837838,"lasso",7
"Avg",0.849315068493151,"lasso",7
"n_Avg",0.845070422535211,"lasso",7
"CS_Avg",0.904109589041096,"lasso",7
"Reg_a",0.845070422535211,"lasso",7
"Reg_s",0.845070422535211,"lasso",7
"Batch",0.914285714285714,"rf",7
"ComBat",0.901408450704225,"rf",7
"Avg",0.888888888888889,"rf",7
"n_Avg",0.888888888888889,"rf",7
"CS_Avg",0.914285714285714,"rf",7
"Reg_a",0.888888888888889,"rf",7
"Reg_s",0.914285714285714,"rf",7
"Batch",0.73972602739726,"svm",7
"ComBat",0.916666666666667,"svm",7
"Avg",0.901408450704225,"svm",7
"n_Avg",0.914285714285714,"svm",7
"CS_Avg",0.904109589041096,"svm",7
"Reg_a",0.914285714285714,"svm",7
"Reg_s",0.941176470588235,"svm",7
"Batch",0.914285714285714,"crossmod",7
"ComBat",0.901408450704225,"crossmod",7
"Avg",0.888888888888889,"crossmod",7
"n_Avg",0.927536231884058,"crossmod",7
"CS_Avg",0.929577464788732,"crossmod",7
"Reg_a",0.914285714285714,"crossmod",7
"Reg_s",0.941176470588235,"crossmod",7
"Batch",0.931506849315068,"lasso",8
"ComBat",0.846153846153846,"lasso",8
"Avg",0.849315068493151,"lasso",8
"n_Avg",0.816901408450704,"lasso",8
"CS_Avg",0.921052631578947,"lasso",8
"Reg_a",0.816901408450704,"lasso",8
"Reg_s",0.840579710144927,"lasso",8
"Batch",0.921052631578947,"rf",8
"ComBat",0.909090909090909,"rf",8
"Avg",0.897435897435897,"rf",8
"n_Avg",0.909090909090909,"rf",8
"CS_Avg",0.909090909090909,"rf",8
"Reg_a",0.909090909090909,"rf",8
"Reg_s",0.909090909090909,"rf",8
"Batch",0.833333333333333,"svm",8
"ComBat",0.986666666666667,"svm",8
"Avg",0.933333333333333,"svm",8
"n_Avg",0.945945945945946,"svm",8
"CS_Avg",0.948717948717949,"svm",8
"Reg_a",0.945945945945946,"svm",8
"Reg_s",0.916666666666667,"svm",8
"Batch",0.921052631578947,"crossmod",8
"ComBat",0.909090909090909,"crossmod",8
"Avg",0.933333333333333,"crossmod",8
"n_Avg",0.945945945945946,"crossmod",8
"CS_Avg",0.933333333333333,"crossmod",8
"Reg_a",0.945945945945946,"crossmod",8
"Reg_s",0.945945945945946,"crossmod",8
"Batch",0.852941176470588,"lasso",9
"ComBat",0.833333333333333,"lasso",9
"Avg",0.777777777777778,"lasso",9
"n_Avg",0.742857142857143,"lasso",9
"CS_Avg",0.794520547945205,"lasso",9
"Reg_a",0.742857142857143,"lasso",9
"Reg_s",0.764705882352941,"lasso",9
"Batch",0.810810810810811,"rf",9
"ComBat",0.763157894736842,"rf",9
"Avg",0.773333333333333,"rf",9
"n_Avg",0.773333333333333,"rf",9
"CS_Avg",0.773333333333333,"rf",9
"Reg_a",0.773333333333333,"rf",9
"Reg_s",0.783783783783784,"rf",9
"Batch",0.657142857142857,"svm",9
"ComBat",0.821917808219178,"svm",9
"Avg",0.805555555555556,"svm",9
"n_Avg",0.816901408450704,"svm",9
"CS_Avg",0.810810810810811,"svm",9
"Reg_a",0.816901408450704,"svm",9
"Reg_s",0.828571428571429,"svm",9
"Batch",0.810810810810811,"crossmod",9
"ComBat",0.763157894736842,"crossmod",9
"Avg",0.805555555555556,"crossmod",9
"n_Avg",0.805555555555556,"crossmod",9
"CS_Avg",0.794520547945205,"crossmod",9
"Reg_a",0.816901408450704,"crossmod",9
"Reg_s",0.828571428571429,"crossmod",9
"Batch",0.898550724637681,"lasso",10
"ComBat",0.861111111111111,"lasso",10
"Avg",0.8,"lasso",10
"n_Avg",0.8,"lasso",10
"CS_Avg",0.914285714285714,"lasso",10
"Reg_a",0.8,"lasso",10
"Reg_s",0.818181818181818,"lasso",10
"Batch",0.882352941176471,"rf",10
"ComBat",0.845070422535211,"rf",10
"Avg",0.873239436619718,"rf",10
"n_Avg",0.857142857142857,"rf",10
"CS_Avg",0.869565217391304,"rf",10
"Reg_a",0.857142857142857,"rf",10
"Reg_s",0.909090909090909,"rf",10
"Batch",0.746268656716418,"svm",10
"ComBat",0.925373134328358,"svm",10
"Avg",0.857142857142857,"svm",10
"n_Avg",0.882352941176471,"svm",10
"CS_Avg",0.864864864864865,"svm",10
"Reg_a",0.882352941176471,"svm",10
"Reg_s",0.895522388059702,"svm",10
"Batch",0.882352941176471,"crossmod",10
"ComBat",0.845070422535211,"crossmod",10
"Avg",0.869565217391304,"crossmod",10
"n_Avg",0.895522388059702,"crossmod",10
"CS_Avg",0.885714285714286,"crossmod",10
"Reg_a",0.911764705882353,"crossmod",10
"Reg_s",0.909090909090909,"crossmod",10
"Batch",0.8,"lasso",11
"ComBat",0.757575757575758,"lasso",11
"Avg",0.65625,"lasso",11
"n_Avg",0.688524590163934,"lasso",11
"CS_Avg",0.825396825396825,"lasso",11
"Reg_a",0.73015873015873,"lasso",11
"Reg_s",0.666666666666667,"lasso",11
"Batch",0.793650793650794,"rf",11
"ComBat",0.73015873015873,"rf",11
"Avg",0.769230769230769,"rf",11
"n_Avg",0.769230769230769,"rf",11
"CS_Avg",0.769230769230769,"rf",11
"Reg_a",0.769230769230769,"rf",11
"Reg_s",0.766666666666667,"rf",11
"Batch",0.73015873015873,"svm",11
"ComBat",0.806451612903226,"svm",11
"Avg",0.806451612903226,"svm",11
"n_Avg",0.819672131147541,"svm",11
"CS_Avg",0.764705882352941,"svm",11
"Reg_a",0.819672131147541,"svm",11
"Reg_s",0.819672131147541,"svm",11
"Batch",0.793650793650794,"crossmod",11
"ComBat",0.73015873015873,"crossmod",11
"Avg",0.793650793650794,"crossmod",11
"n_Avg",0.766666666666667,"crossmod",11
"CS_Avg",0.806451612903226,"crossmod",11
"Reg_a",0.819672131147541,"crossmod",11
"Reg_s",0.862068965517241,"crossmod",11
"Batch",0.861111111111111,"lasso",12
"ComBat",0.898550724637681,"lasso",12
"Avg",0.735294117647059,"lasso",12
"n_Avg",0.782608695652174,"lasso",12
"CS_Avg",0.849315068493151,"lasso",12
"Reg_a",0.782608695652174,"lasso",12
"Reg_s",0.794117647058824,"lasso",12
"Batch",0.816901408450704,"rf",12
"ComBat",0.810810810810811,"rf",12
"Avg",0.821917808219178,"rf",12
"n_Avg",0.833333333333333,"rf",12
"CS_Avg",0.857142857142857,"rf",12
"Reg_a",0.833333333333333,"rf",12
"Reg_s",0.857142857142857,"rf",12
"Batch",0.753623188405797,"svm",12
"ComBat",0.885714285714286,"svm",12
"Avg",0.821917808219178,"svm",12
"n_Avg",0.845070422535211,"svm",12
"CS_Avg",0.849315068493151,"svm",12
"Reg_a",0.845070422535211,"svm",12
"Reg_s",0.869565217391304,"svm",12
"Batch",0.816901408450704,"crossmod",12
"ComBat",0.810810810810811,"crossmod",12
"Avg",0.857142857142857,"crossmod",12
"n_Avg",0.857142857142857,"crossmod",12
"CS_Avg",0.849315068493151,"crossmod",12
"Reg_a",0.857142857142857,"crossmod",12
"Reg_s",0.869565217391304,"crossmod",12
"Batch",0.885714285714286,"lasso",13
"ComBat",0.891891891891892,"lasso",13
"Avg",0.823529411764706,"lasso",13
"n_Avg",0.8,"lasso",13
"CS_Avg",0.906666666666667,"lasso",13
"Reg_a",0.8,"lasso",13
"Reg_s",0.885714285714286,"lasso",13
"Batch",0.873239436619718,"rf",13
"ComBat",0.861111111111111,"rf",13
"Avg",0.861111111111111,"rf",13
"n_Avg",0.861111111111111,"rf",13
"CS_Avg",0.873239436619718,"rf",13
"Reg_a",0.861111111111111,"rf",13
"Reg_s",0.873239436619718,"rf",13
"Batch",0.705882352941177,"svm",13
"ComBat",0.906666666666667,"svm",13
"Avg",0.873239436619718,"svm",13
"n_Avg",0.885714285714286,"svm",13
"CS_Avg",0.883116883116883,"svm",13
"Reg_a",0.885714285714286,"svm",13
"Reg_s",0.885714285714286,"svm",13
"Batch",0.873239436619718,"crossmod",13
"ComBat",0.861111111111111,"crossmod",13
"Avg",0.823529411764706,"crossmod",13
"n_Avg",0.885714285714286,"crossmod",13
"CS_Avg",0.861111111111111,"crossmod",13
"Reg_a",0.885714285714286,"crossmod",13
"Reg_s",0.885714285714286,"crossmod",13
"Batch",0.911392405063291,"lasso",14
"ComBat",0.928571428571429,"lasso",14
"Avg",0.870588235294118,"lasso",14
"n_Avg",0.891566265060241,"lasso",14
"CS_Avg",0.963855421686747,"lasso",14
"Reg_a",0.891566265060241,"lasso",14
"Reg_s",0.925,"lasso",14
"Batch",0.951219512195122,"rf",14
"ComBat",0.939759036144578,"rf",14
"Avg",0.939759036144578,"rf",14
"n_Avg",0.939759036144578,"rf",14
"CS_Avg",0.939759036144578,"rf",14
"Reg_a",0.939759036144578,"rf",14
"Reg_s",0.939759036144578,"rf",14
"Batch",0.740740740740741,"svm",14
"ComBat",0.951219512195122,"svm",14
"Avg",0.951219512195122,"svm",14
"n_Avg",0.951219512195122,"svm",14
"CS_Avg",0.963855421686747,"svm",14
"Reg_a",0.951219512195122,"svm",14
"Reg_s",0.951219512195122,"svm",14
"Batch",0.951219512195122,"crossmod",14
"ComBat",0.939759036144578,"crossmod",14
"Avg",0.951219512195122,"crossmod",14
"n_Avg",0.951219512195122,"crossmod",14
"CS_Avg",0.963855421686747,"crossmod",14
"Reg_a",0.951219512195122,"crossmod",14
"Reg_s",0.951219512195122,"crossmod",14
"Batch",0.865671641791045,"lasso",15
"ComBat",0.837837837837838,"lasso",15
"Avg",0.776119402985075,"lasso",15
"n_Avg",0.764705882352941,"lasso",15
"CS_Avg",0.849315068493151,"lasso",15
"Reg_a",0.776119402985075,"lasso",15
"Reg_s",0.823529411764706,"lasso",15
"Batch",0.861111111111111,"rf",15
"ComBat",0.816901408450704,"rf",15
"Avg",0.794520547945205,"rf",15
"n_Avg",0.805555555555556,"rf",15
"CS_Avg",0.840579710144927,"rf",15
"Reg_a",0.805555555555556,"rf",15
"Reg_s",0.852941176470588,"rf",15
"Batch",0.771428571428571,"svm",15
