"variable","value","L1","iteration"
"Batch",0.212678573872016,"lasso",1
"ComBat",0.258861222616589,"lasso",1
"Avg",0.325487743696125,"lasso",1
"n_Avg",0.314064260688224,"lasso",1
"CS_Avg",0.261228718015924,"lasso",1
"Reg_a",0.312022749942612,"lasso",1
"Reg_s",0.298181331463222,"lasso",1
"Batch",0.295582018935794,"rf",1
"ComBat",0.271090955803823,"rf",1
"Avg",0.267975752014244,"rf",1
"n_Avg",0.265162743178822,"rf",1
"CS_Avg",0.261678201129963,"rf",1
"Reg_a",0.265131421872669,"rf",1
"Reg_s",0.261702840972267,"rf",1
"Batch",0.326016299866715,"svm",1
"ComBat",0.162424573732619,"svm",1
"Avg",0.224089839124939,"svm",1
"n_Avg",0.229911725743478,"svm",1
"CS_Avg",0.213436681323407,"svm",1
"Reg_a",0.229483267248278,"svm",1
"Reg_s",0.23696066566462,"svm",1
"Batch",0.295582018935794,"crossmod",1
"ComBat",0.271090955803823,"crossmod",1
"Avg",0.265707786104585,"crossmod",1
"n_Avg",0.26271253697412,"crossmod",1
"CS_Avg",0.239852986164986,"crossmod",1
"Reg_a",0.232782051222435,"crossmod",1
"Reg_s",0.239856256302401,"crossmod",1
"Batch",0.242333773959288,"lasso",2
"ComBat",0.307463261717281,"lasso",2
"Avg",0.378796563844927,"lasso",2
"n_Avg",0.364161900937901,"lasso",2
"CS_Avg",0.316450852535845,"lasso",2
"Reg_a",0.362456936245967,"lasso",2
"Reg_s",0.344446553943291,"lasso",2
"Batch",0.335166877438008,"rf",2
"ComBat",0.320737290382694,"rf",2
"Avg",0.33896992522733,"rf",2
"n_Avg",0.331956541489872,"rf",2
"CS_Avg",0.320621164186071,"rf",2
"Reg_a",0.331875274148738,"rf",2
"Reg_s",0.31608876783814,"rf",2
"Batch",0.440072083190592,"svm",2
"ComBat",0.175685047977913,"svm",2
"Avg",0.275186796568478,"svm",2
"n_Avg",0.271420128900427,"svm",2
"CS_Avg",0.279363383704335,"svm",2
"Reg_a",0.271299560211187,"svm",2
"Reg_s",0.269813945438512,"svm",2
"Batch",0.335166877438008,"crossmod",2
"ComBat",0.320737290382694,"crossmod",2
"Avg",0.32455274833631,"crossmod",2
"n_Avg",0.315579911834315,"crossmod",2
"CS_Avg",0.299863331696691,"crossmod",2
"Reg_a",0.274700273248608,"crossmod",2
"Reg_s",0.272366032005576,"crossmod",2
"Batch",0.242095977099946,"lasso",3
"ComBat",0.252411918297096,"lasso",3
"Avg",0.373316422565061,"lasso",3
"n_Avg",0.357486109083771,"lasso",3
"CS_Avg",0.294792594687391,"lasso",3
"Reg_a",0.355404506292851,"lasso",3
"Reg_s",0.334586366095314,"lasso",3
"Batch",0.321883707274021,"rf",3
"ComBat",0.297904690314553,"rf",3
"Avg",0.316857508719708,"rf",3
"n_Avg",0.309765164198833,"rf",3
"CS_Avg",0.299794310282212,"rf",3
"Reg_a",0.309683522536192,"rf",3
"Reg_s",0.298510320069441,"rf",3
"Batch",0.443152058940474,"svm",3
"ComBat",0.164546538525986,"svm",3
"Avg",0.276339052335501,"svm",3
"n_Avg",0.274865953351422,"svm",3
"CS_Avg",0.255985861556248,"svm",3
"Reg_a",0.274369815285738,"svm",3
"Reg_s",0.274849695639802,"svm",3
"Batch",0.321883707274021,"crossmod",3
"ComBat",0.297904690314553,"crossmod",3
"Avg",0.315886823945763,"crossmod",3
"n_Avg",0.307366898339849,"crossmod",3
"CS_Avg",0.286239843220363,"crossmod",3
"Reg_a",0.276833742963636,"crossmod",3
"Reg_s",0.275132555677182,"crossmod",3
"Batch",0.245728524452319,"lasso",4
"ComBat",0.264732479858417,"lasso",4
"Avg",0.34063443154486,"lasso",4
