"variable","value","L1","iteration"
"Batch",0.31949292686915,"lasso",1
"ComBat",0.374089748549398,"lasso",1
"Avg",0.329096253083949,"lasso",1
"n_Avg",0.32659829589177,"lasso",1
"CS_Avg",0.329344759643056,"lasso",1
"Reg_a",0.326436287313849,"lasso",1
"Reg_s",0.32321046008528,"lasso",1
"Batch",0.386289690652216,"rf",1
"ComBat",0.386093128568798,"rf",1
"Avg",0.315521599267909,"rf",1
"n_Avg",0.314133631116412,"rf",1
"CS_Avg",0.316230791545112,"rf",1
"Reg_a",0.314076279996589,"rf",1
"Reg_s",0.306942195626806,"rf",1
"Batch",0.253069684450267,"svm",1
"ComBat",0.357354192519839,"svm",1
"Avg",0.292760661059899,"svm",1
"n_Avg",0.2944005381317,"svm",1
"CS_Avg",0.325585537488993,"svm",1
"Reg_a",0.294175464657235,"svm",1
"Reg_s",0.300239849824095,"svm",1
"Batch",0.386289690652216,"crossmod",1
"ComBat",0.386093128568798,"crossmod",1
"Avg",0.30686415253681,"crossmod",1
"n_Avg",0.306849061890534,"crossmod",1
"CS_Avg",0.308494823659361,"crossmod",1
"Reg_a",0.297276323570833,"crossmod",1
"Reg_s",0.303043438756589,"crossmod",1
"Batch",0.335036785669743,"lasso",2
"ComBat",0.332654610039641,"lasso",2
"Avg",0.34341390481382,"lasso",2
"n_Avg",0.336120887286329,"lasso",2
"CS_Avg",0.321425971066895,"lasso",2
"Reg_a",0.336269288874394,"lasso",2
"Reg_s",0.328302874636215,"lasso",2
"Batch",0.384467727296422,"rf",2
"ComBat",0.358420508711704,"rf",2
"Avg",0.335267385989715,"rf",2
"n_Avg",0.334099554450233,"rf",2
"CS_Avg",0.330921249452082,"rf",2
"Reg_a",0.334101601760483,"rf",2
"Reg_s",0.335755001996784,"rf",2
"Batch",0.348393902993531,"svm",2
"ComBat",0.361938559940555,"svm",2
"Avg",0.346259687112029,"svm",2
"n_Avg",0.346317341793913,"svm",2
"CS_Avg",0.352270583906402,"svm",2
"Reg_a",0.346353575562703,"svm",2
"Reg_s",0.346412767998186,"svm",2
"Batch",0.384467727296422,"crossmod",2
"ComBat",0.358420508711704,"crossmod",2
"Avg",0.335670688682183,"crossmod",2
"n_Avg",0.333700149886825,"crossmod",2
"CS_Avg",0.333078761533609,"crossmod",2
"Reg_a",0.345341391495708,"crossmod",2
"Reg_s",0.346777629909556,"crossmod",2
"Batch",0.338127986594012,"lasso",3
"ComBat",0.406567518575519,"lasso",3
"Avg",0.368207495687575,"lasso",3
"n_Avg",0.364137835591942,"lasso",3
"CS_Avg",0.35988096483639,"lasso",3
"Reg_a",0.364158153290715,"lasso",3
"Reg_s",0.360607386184389,"lasso",3
