Accuracy,ROC_AUC,Sensitivity,Specificity,MCC,True Negative,False Positive,False Negative,True Positive,adjuster,subset_file,test_source,adjuster_folder
0.9739130434782608,0.9831746031746031,0.9857142857142858,0.9555555555555556,0.9451786611330648,43,2,1,69,gmm,subset10studies_test_gse19615.csv,gse19615,gmm
0.9721115537848606,0.9922043010752688,0.9870967741935484,0.9479166666666666,0.9409126378092298,91,5,2,153,gmm,subset10studies_test_gse20194.csv,gse20194,gmm
0.8846153846153846,0.9130434782608696,0.9021739130434784,0.859375,0.7615489130434783,55,9,9,83,gmm,subset10studies_test_gse20271.csv,gse20271,gmm
0.9137055837563453,0.9309507286606524,0.9236641221374046,0.8939393939393939,0.8089484288827148,59,7,10,121,gmm,subset10studies_test_gse23720.csv,gse23720,gmm
0.9657534246575342,0.9881430483840122,0.963855421686747,0.9682539682539684,0.9304205430464424,122,4,6,160,gmm,subset10studies_test_gse25055.csv,gse25055,gmm
0.8532608695652174,0.8865926776374538,0.8632478632478633,0.835820895522388,0.6892471304999412,56,11,16,101,gmm,subset10studies_test_gse25065.csv,gse25065,gmm
0.8518518518518519,0.862126245847176,0.9186046511627908,0.7346938775510204,0.6742652911867638,36,13,7,79,gmm,subset10studies_test_gse45255.csv,gse45255,gmm
0.9501557632398754,0.9624788732394366,0.956,0.9295774647887324,0.8607667042781404,66,5,11,239,gmm,subset10studies_test_gse58644.csv,gse58644,gmm
0.7396226415094339,0.9335789871504158,1.0,0.6805555555555556,0.5316047198383641,147,69,0,49,gmm,subset10studies_test_gse76275.csv,gse76275,gmm
0.9572368421052632,0.9854400445145136,0.9581749049429658,0.951219512195122,0.8379540914668245,39,2,11,252,gmm,subset10studies_test_gse96058_nextseq.csv,gse96058_nextseq,gmm
0.9739130434782608,0.9850793650793652,1.0,0.9333333333333332,0.9460323297592804,42,3,0,70,gmm,subset11studies_test_gse19615.csv,gse19615,gmm
0.9721115537848606,0.9951612903225806,0.9806451612903224,0.9583333333333334,0.9408773408393036,92,4,3,152,gmm,subset11studies_test_gse20194.csv,gse20194,gmm
0.8717948717948718,0.9273097826086956,0.8913043478260869,0.84375,0.7350543478260869,54,10,10,82,gmm,subset11studies_test_gse20271.csv,gse20271,gmm
0.9898477157360406,0.9996530187369882,1.0,0.9696969696969696,0.9772998825223598,64,2,0,131,gmm,subset11studies_test_gse23720.csv,gse23720,gmm
0.9657534246575342,0.9847007075922738,0.9698795180722892,0.9603174603174603,0.9301969783897496,121,5,5,161,gmm,subset11studies_test_gse25055.csv,gse25055,gmm
0.8532608695652174,0.8928434749330272,0.8547008547008547,0.8507462686567164,0.6922812937680397,57,10,17,100,gmm,subset11studies_test_gse25065.csv,gse25065,gmm
0.9467787114845938,0.9760166184061436,0.9627659574468084,0.9289940828402368,0.8934488746518928,157,12,7,181,gmm,subset11studies_test_gse31448.csv,gse31448,gmm
0.8518518518518519,0.8687707641196013,0.9186046511627908,0.7346938775510204,0.6742652911867638,36,13,7,79,gmm,subset11studies_test_gse45255.csv,gse45255,gmm
0.9470404984423676,0.9647887323943662,0.952,0.9295774647887324,0.8531182265697669,66,5,12,238,gmm,subset11studies_test_gse58644.csv,gse58644,gmm
0.7811320754716982,0.9245086923658352,1.0,0.7314814814814815,0.5787724085211313,158,58,0,49,gmm,subset11studies_test_gse76275.csv,gse76275,gmm
0.9572368421052632,0.9899842344431048,0.9543726235741444,0.975609756097561,0.8436116731158885,40,1,12,251,gmm,subset11studies_test_gse96058_nextseq.csv,gse96058_nextseq,gmm
0.9565217391304348,0.9847619047619048,0.9571428571428572,0.9555555555555556,0.9092412093166348,43,2,3,67,gmm,subset12studies_test_gse19615.csv,gse19615,gmm
0.9681274900398408,0.994287634408602,0.9806451612903224,0.9479166666666666,0.9323920008577034,91,5,3,152,gmm,subset12studies_test_gse20194.csv,gse20194,gmm
0.8717948717948718,0.9288383152173914,0.8913043478260869,0.84375,0.7350543478260869,54,10,10,82,gmm,subset12studies_test_gse20271.csv,gse20271,gmm
0.9949238578680204,1.0,1.0,0.9848484848484848,0.988629107136959,65,1,0,131,gmm,subset12studies_test_gse23720.csv,gse23720,gmm
0.9691780821917808,0.9877605660738192,0.9759036144578314,0.9603174603174603,0.9371400265069386,121,5,4,162,gmm,subset12studies_test_gse25055.csv,gse25055,gmm
0.8532608695652174,0.8939915805587447,0.8547008547008547,0.8507462686567164,0.6922812937680397,57,10,17,100,gmm,subset12studies_test_gse25065.csv,gse25065,gmm
0.9467787114845938,0.9766461034873476,0.952127659574468,0.940828402366864,0.8932372459587371,159,10,9,179,gmm,subset12studies_test_gse31448.csv,gse31448,gmm
0.8518518518518519,0.8680588514475557,0.9302325581395348,0.7142857142857143,0.6739483972188832,35,14,6,80,gmm,subset12studies_test_gse45255.csv,gse45255,gmm
0.9501557632398754,0.9625352112676056,0.956,0.9295774647887324,0.8607667042781404,66,5,11,239,gmm,subset12studies_test_gse58644.csv,gse58644,gmm
0.7811320754716982,0.933390022675737,1.0,0.7314814814814815,0.5787724085211313,158,58,0,49,gmm,subset12studies_test_gse76275.csv,gse76275,gmm
0.9481481481481482,0.9778373480329232,0.9628482972136224,0.8902439024390244,0.8418209047678141,73,9,12,311,gmm,subset12studies_test_gse81538.csv,gse81538,gmm
0.9605263157894736,0.99332282296207,0.9581749049429658,0.975609756097561,0.8536329877902357,40,1,11,252,gmm,subset12studies_test_gse96058_nextseq.csv,gse96058_nextseq,gmm
0.982608695652174,0.9863492063492064,1.0,0.9555555555555556,0.9638528651609708,43,2,0,70,gmm,subset13studies_test_gse19615.csv,gse19615,gmm
0.9721115537848606,0.995228494623656,0.9741935483870968,0.96875,0.941111177378704,93,3,4,151,gmm,subset13studies_test_gse20194.csv,gse20194,gmm
0.8846153846153846,0.9251019021739132,0.9021739130434784,0.859375,0.7615489130434783,55,9,9,83,gmm,subset13studies_test_gse20271.csv,gse20271,gmm
0.9796954314720812,0.9997686791579922,1.0,0.9393939393939394,0.954756536973368,62,4,0,131,gmm,subset13studies_test_gse23720.csv,gse23720,gmm
0.9726027397260274,0.9866609294320138,0.9698795180722892,0.9761904761904762,0.9443558527802114,123,3,5,161,gmm,subset13studies_test_gse25055.csv,gse25055,gmm
0.8532608695652174,0.9076412807756092,0.8547008547008547,0.8507462686567164,0.6922812937680397,57,10,17,100,gmm,subset13studies_test_gse25065.csv,gse25065,gmm
0.9523809523809524,0.9694070250535064,0.9680851063829788,0.9349112426035504,0.9047064629147216,158,11,6,182,gmm,subset13studies_test_gse31448.csv,gse31448,gmm
0.8518518518518519,0.8526340768865686,0.9302325581395348,0.7142857142857143,0.6739483972188832,35,14,6,80,gmm,subset13studies_test_gse45255.csv,gse45255,gmm
0.9532710280373832,0.9509859154929576,0.96,0.9295774647887324,0.8685465768918882,66,5,10,240,gmm,subset13studies_test_gse58644.csv,gse58644,gmm
0.8995305164319248,0.8780618744313011,0.9643312101910828,0.7178571428571429,0.7309661478888606,201,79,28,757,gmm,subset13studies_test_gse62944_tumor.csv,gse62944_tumor,gmm
0.8490566037735849,0.9272486772486772,0.9591836734693876,0.8240740740740741,0.6514542167679865,178,38,2,47,gmm,subset13studies_test_gse76275.csv,gse76275,gmm
0.9530864197530864,0.9792720682624784,0.9876160990712074,0.8170731707317073,0.8504210271339997,67,15,4,319,gmm,subset13studies_test_gse81538.csv,gse81538,gmm
0.9638157894736842,0.990447927292961,0.9619771863117872,0.975609756097561,0.8639318646471136,40,1,10,253,gmm,subset13studies_test_gse96058_nextseq.csv,gse96058_nextseq,gmm
0.9652173913043478,0.9822222222222222,0.9714285714285714,0.9555555555555556,0.926984126984127,43,2,2,68,gmm,subset14studies_test_gse19615.csv,gse19615,gmm
0.952191235059761,0.9942876344086022,0.9612903225806452,0.9375,0.8987903225806452,90,6,6,149,gmm,subset14studies_test_gse20194.csv,gse20194,gmm
0.8653846153846154,0.9189877717391304,0.8913043478260869,0.828125,0.7212076118716618,53,11,10,82,gmm,subset14studies_test_gse20271.csv,gse20271,gmm
0.9847715736040608,0.9995373583159844,1.0,0.9545454545454546,0.9660098518759024,63,3,0,131,gmm,subset14studies_test_gse23720.csv,gse23720,gmm
0.9623287671232876,0.983362019506598,0.9698795180722892,0.9523809523809524,0.9231657190950284,120,6,5,161,gmm,subset14studies_test_gse25055.csv,gse25055,gmm
0.8478260869565217,0.8990942722286006,0.8547008547008547,0.835820895522388,0.6791798229366737,56,11,17,100,gmm,subset14studies_test_gse25065.csv,gse25065,gmm
0.9565217391304348,0.9768253968253968,1.0,0.8888888888888888,0.9108400680852976,40,5,0,70,gmm,subset2studies_test_gse19615.csv,gse19615,gmm
0.837037037037037,0.8504983388704319,0.9302325581395348,0.673469387755102,0.6404746150058319,33,16,6,80,gmm,subset2studies_test_gse45255.csv,gse45255,gmm
0.9565217391304348,0.9771428571428572,1.0,0.8888888888888888,0.9108400680852976,40,5,0,70,gmm,subset3studies_test_gse19615.csv,gse19615,gmm
0.8525641025641025,0.8729619565217391,0.8804347826086957,0.8125,0.6946475581766715,52,12,11,81,gmm,subset3studies_test_gse20271.csv,gse20271,gmm
0.8518518518518519,0.8552444233507356,0.9302325581395348,0.7142857142857143,0.6739483972188832,35,14,6,80,gmm,subset3studies_test_gse45255.csv,gse45255,gmm
0.9391304347826088,0.9806349206349206,0.9714285714285714,0.8888888888888888,0.8720229978393366,40,5,2,68,gmm,subset4studies_test_gse19615.csv,gse19615,gmm
0.8653846153846154,0.9069293478260868,0.9021739130434784,0.8125,0.720385744870595,52,12,9,83,gmm,subset4studies_test_gse20271.csv,gse20271,gmm
0.8478260869565217,0.9052175022324276,0.8461538461538461,0.8507462686567164,0.6824282357189176,57,10,18,99,gmm,subset4studies_test_gse25065.csv,gse25065,gmm
0.8518518518518519,0.8889416231608922,0.9186046511627908,0.7346938775510204,0.6742652911867638,36,13,7,79,gmm,subset4studies_test_gse45255.csv,gse45255,gmm
0.9652173913043478,0.9907936507936508,0.9857142857142858,0.9333333333333332,0.9270279218076446,42,3,1,69,gmm,subset5studies_test_gse19615.csv,gse19615,gmm
0.8525641025641025,0.9004755434782609,0.8804347826086957,0.8125,0.6946475581766715,52,12,11,81,gmm,subset5studies_test_gse20271.csv,gse20271,gmm
0.9187817258883249,0.934767522553782,0.9465648854961832,0.8636363636363636,0.8165536351466043,57,9,7,124,gmm,subset5studies_test_gse23720.csv,gse23720,gmm
0.8586956521739131,0.9019007526470212,0.8632478632478633,0.8507462686567164,0.7022666670933978,57,10,16,101,gmm,subset5studies_test_gse25065.csv,gse25065,gmm
0.8518518518518519,0.8863312766967251,0.9418604651162792,0.6938775510204082,0.6744620650945848,34,15,5,81,gmm,subset5studies_test_gse45255.csv,gse45255,gmm
0.9739130434782608,0.9873015873015872,1.0,0.9333333333333332,0.9460323297592804,42,3,0,70,gmm,subset6studies_test_gse19615.csv,gse19615,gmm
