final_name,gse62944_tumor,metabric
meta_menopause_status,meta_menopause_status,meta_INFERRED_MENOPAUSAL_STATE
meta_sex,meta_gender,meta_SEX
meta_age_at_diagnosis,meta_age_at_diagnosis,meta_AGE_AT_DIAGNOSIS
meta_chemotherapy,meta_history_neoadjuvant_treatment,meta_CHEMOTHERAPY
meta_histological_type,meta_histological_type,meta_HISTOLOGICAL_SUBTYPE
meta_her2_status,meta_her2_status_by_ihc,meta_THREEGENE
