Configuration,Version,Method,Signal_Preservation,Artifact_Removal,Stability_MAE,DE_Preservation,Housekeeping_Stability,Linear_Separability,Semantic_Anchoring,Signal_Preservation_Mean,Signal_Preservation_Std,Genes_Well_Preserved,Total_Genes_Analyzed
combat_baseline,ComBat,Standard,-0.32710326692711456,-5569.415600767271,11767.669283351186,0.4110992780632349,,0.5,0.0,-0.3201497110833977,0.02452371579457063,0,53
gmm_baseline,GMM,Gaussian Mixture,-0.33532872879620024,7011.784553226156,14832.743337541753,0.701654979614101,0.8155602591288956,0.9902777777777777,0.13688918366295172,-0.33087289775176626,0.024154263162262348,0,53
pace_v31_pure_local,PACE v3.1,Pure Local,-0.2987774430976564,-3548.920115617598,6342.157236148972,0.5992280030784968,0.9178345418700994,0.9655381944444444,0.0,-0.2753777995808682,0.07785519367284002,0,53
posse_v50_conservative,POSSE v5.0,ComBat-Initialized,-0.2183260898913385,5149.375354608733,7810.159029872675,0.7063190864520765,0.8111099552432537,0.9473090277777777,0.5315181702181923,0.31959965596131573,0.6673221678497528,26,53
posse_v50_aggressive,POSSE v5.0,ComBat-Initialized,-0.2183260898913385,5149.375354608733,7801.42949978506,0.7048886524830134,0.7603537554575964,0.9472222222222223,0.6168429709672708,0.3240059477827712,0.6718945011960417,26,53
posse_v50_balanced,POSSE v5.0,ComBat-Initialized,-0.2183260898913385,5149.375354608733,7807.3675611991175,0.705354028294853,0.7835454680784971,0.9472222222222223,0.6167632919419671,0.32245448725112064,0.670272374682257,26,53
posse_v50_sniper,POSSE v5.0,ComBat-Initialized,-0.2183260898913385,5149.375354608733,7780.765154011215,0.7098690269765368,0.8039698011087091,0.9514756944444445,0.5097814212144314,0.3270852539609786,0.6749692923833363,26,53
v22_aggressive_centered,PACE v2.2,Centered Cosine,-0.3120660869125708,-3914.5237301278976,4570.235604323692,0.629200461529294,0.9428835651920804,0.954861111111111,0.0,-0.3048880539087035,0.035244478840413866,0,53
v30_activity_focused,PACE v3.0,Activity-Gated,-0.3039446748386408,-3900.2223624344974,4484.801256838841,0.6111992439172255,0.9307644089310936,0.9479166666666666,0.0,-0.28250342871046147,0.0682158314577144,0,53
v32_iterative_consensus,PACE v3.2,Iterative Consensus,-0.3106186603267775,-3769.466267090367,6821.690310662699,0.613899165571148,0.9034380446007539,0.9424479166666666,0.0,-0.2983005918261876,0.04663600592431625,0,53
v34_housekeeping_focused,PACE v3.4,Housekeeping Anchors,-0.2949905873919483,-4374.644497979573,5926.386807945768,0.5968196687621266,0.9464619257895557,0.9521701388888889,0.0,-0.27217488102836007,0.07994482149141764,0,53
v35_affine_focused,PACE v3.5,Affine Anchors,-0.2953744285365333,-3810.0504364467743,8178.986615552147,0.6115941365565131,0.9267396296651149,0.9612847222222222,0.0,-0.2725415769931477,0.07974693195103091,0,53
